homophily_1,homophily_2,sustainability,step
0.0,0.0,0.61,35.9
0.05,0.0,0.56,32.68
0.1,0.0,0.53,31.87
0.15,0.0,0.55,32.5
0.2,0.0,0.53,31.15
0.25,0.0,0.49,29.44
0.3,0.0,0.44,27.14
0.35,0.0,0.45,27.83
0.4,0.0,0.5,29.12
0.45,0.0,0.42,26.3
0.5,0.0,0.42,26.86
0.55,0.0,0.43,27.91
0.6,0.0,0.43,27.47
0.65,0.0,0.4,26.02
0.7,0.0,0.38,22.7
0.75,0.0,0.43,25.91
0.8,0.0,0.38,22.55
0.85,0.0,0.31,19.78
0.9,0.0,0.32,19.93
0.95,0.0,0.36,21.87
0.99,0.0,0.31,20.42
0.0,0.05,0.59,34.97
0.05,0.05,0.6,36.25
0.1,0.05,0.6,36.31
0.15,0.05,0.42,25.63
0.2,0.05,0.55,31.21
0.25,0.05,0.54,33.87
0.3,0.05,0.5,31.29
0.35,0.05,0.59,33.06
0.4,0.05,0.53,29.86
0.45,0.05,0.43,26.48
0.5,0.05,0.38,24.72
0.55,0.05,0.47,27.44
0.6,0.05,0.43,24.98
0.65,0.05,0.4,25.54
0.7,0.05,0.43,27.43
0.75,0.05,0.37,22.13
0.8,0.05,0.41,23.13
0.85,0.05,0.43,24.75
0.9,0.05,0.37,20.76
0.95,0.05,0.37,20.47
0.99,0.05,0.35,20.74
0.0,0.1,0.6,35.68
0.05,0.1,0.59,36.27
0.1,0.1,0.51,32.17
0.15,0.1,0.53,33.33
0.2,0.1,0.53,32.52
0.25,0.1,0.55,33.08
0.3,0.1,0.51,31.15
0.35,0.1,0.53,31.22
0.4,0.1,0.56,34.64
0.45,0.1,0.49,29.67
0.5,0.1,0.46,28.29
0.55,0.1,0.51,29.19
0.6,0.1,0.42,27.21
0.65,0.1,0.45,26.68
0.7,0.1,0.44,26.24
0.75,0.1,0.45,27.45
0.8,0.1,0.35,22.53
0.85,0.1,0.39,23.56
0.9,0.1,0.34,21.15
0.95,0.1,0.35,22.87
0.99,0.1,0.33,20.88
0.0,0.15,0.61,37.3
0.05,0.15,0.62,37.69
0.1,0.15,0.5,30.9
0.15,0.15,0.52,33.57
0.2,0.15,0.5,32.25
0.25,0.15,0.56,35.3
0.3,0.15,0.48,32.28
0.35,0.15,0.54,31.62
0.4,0.15,0.51,32.23
0.45,0.15,0.46,28.17
0.5,0.15,0.44,26.22
0.55,0.15,0.4,25.81
0.6,0.15,0.5,27.93
0.65,0.15,0.43,26.86
0.7,0.15,0.47,29.98
0.75,0.15,0.44,27.72
0.8,0.15,0.38,22.96
0.85,0.15,0.43,25.44
0.9,0.15,0.32,20.28
0.95,0.15,0.23,19.45
0.99,0.15,0.27,20.61
0.0,0.2,0.63,37.65
0.05,0.2,0.59,38.03
0.1,0.2,0.52,34.63
0.15,0.2,0.51,32.35
0.2,0.2,0.63,37.19
0.25,0.2,0.58,38.05
0.3,0.2,0.66,39.04
0.35,0.2,0.63,37.72
0.4,0.2,0.48,29.13
0.45,0.2,0.53,31.59
0.5,0.2,0.43,28.87
0.55,0.2,0.45,28.28
0.6,0.2,0.44,28.77
0.65,0.2,0.49,28.92
0.7,0.2,0.47,28.63
0.75,0.2,0.41,25.68
0.8,0.2,0.38,25.65
0.85,0.2,0.36,26.21
0.9,0.2,0.38,24.13
0.95,0.2,0.41,25.95
0.99,0.2,0.27,19.82
0.0,0.25,0.58,35.9
0.05,0.25,0.57,36.1
0.1,0.25,0.66,39.2
0.15,0.25,0.62,38.24
0.2,0.25,0.46,30.67
0.25,0.25,0.54,35.37
0.3,0.25,0.52,33.69
0.35,0.25,0.57,35.54
0.4,0.25,0.53,32.89
0.45,0.25,0.56,35.93
0.5,0.25,0.5,32.22
0.55,0.25,0.57,34.4
0.6,0.25,0.5,32.88
0.65,0.25,0.44,29.62
0.7,0.25,0.38,25.63
0.75,0.25,0.38,26.73
0.8,0.25,0.34,25.01
0.85,0.25,0.45,26.29
0.9,0.25,0.3,22.04
0.95,0.25,0.37,24.73
0.99,0.25,0.33,21.63
0.0,0.3,0.56,37.87
0.05,0.3,0.58,37.73
0.1,0.3,0.59,38.54
0.15,0.3,0.69,41.41
0.2,0.3,0.72,43.95
0.25,0.3,0.58,37.59
0.3,0.3,0.7,44.06
0.35,0.3,0.58,36.32
0.4,0.3,0.52,32.61
0.45,0.3,0.52,32.98
0.5,0.3,0.49,32.19
0.55,0.3,0.49,33.37
0.6,0.3,0.49,30.91
0.65,0.3,0.44,30.08
0.7,0.3,0.33,25.24
0.75,0.3,0.48,29.99
0.8,0.3,0.45,27.49
0.85,0.3,0.36,25.59
0.9,0.3,0.39,27.37
0.95,0.3,0.35,24.7
0.99,0.3,0.26,21.04
0.0,0.35,0.56,36.46
0.05,0.35,0.61,39.03
0.1,0.35,0.62,39.87
0.15,0.35,0.59,39.89
0.2,0.35,0.56,35.94
0.25,0.35,0.6,38.4
0.3,0.35,0.66,41.0
0.35,0.35,0.62,37.44
0.4,0.35,0.57,36.2
0.45,0.35,0.53,34.73
0.5,0.35,0.64,39.76
0.55,0.35,0.53,33.88
0.6,0.35,0.51,34.97
0.65,0.35,0.43,29.52
0.7,0.35,0.5,33.2
0.75,0.35,0.56,34.98
0.8,0.35,0.46,32.14
0.85,0.35,0.4,27.05
0.9,0.35,0.4,25.84
0.95,0.35,0.39,25.58
0.99,0.35,0.37,25.01
0.0,0.4,0.6,40.41
0.05,0.4,0.56,35.66
0.1,0.4,0.67,41.8
0.15,0.4,0.66,39.57
0.2,0.4,0.68,42.5
0.25,0.4,0.62,38.59
0.3,0.4,0.63,38.45
0.35,0.4,0.62,39.97
0.4,0.4,0.57,37.03
0.45,0.4,0.54,36.49
0.5,0.4,0.57,36.72
0.55,0.4,0.6,36.73
0.6,0.4,0.57,37.14
0.65,0.4,0.65,38.53
0.7,0.4,0.51,30.83
0.75,0.4,0.44,30.47
0.8,0.4,0.46,29.3
0.85,0.4,0.43,29.59
0.9,0.4,0.38,25.81
0.95,0.4,0.4,25.36
0.99,0.4,0.31,24.05
0.0,0.45,0.62,40.66
0.05,0.45,0.71,44.7
0.1,0.45,0.66,42.38
0.15,0.45,0.75,47.33
0.2,0.45,0.64,42.45
0.25,0.45,0.69,43.82
0.3,0.45,0.61,39.83
0.35,0.45,0.66,43.26
0.4,0.45,0.67,43.67
0.45,0.45,0.62,39.66
0.5,0.45,0.56,37.19
0.55,0.45,0.52,34.89
0.6,0.45,0.57,36.56
0.65,0.45,0.51,35.92
0.7,0.45,0.46,31.8
0.75,0.45,0.51,34.35
0.8,0.45,0.47,31.96
0.85,0.45,0.44,29.3
0.9,0.45,0.38,28.32
0.95,0.45,0.35,26.97
0.99,0.45,0.34,29.11
0.0,0.5,0.66,44.03
0.05,0.5,0.73,46.13
0.1,0.5,0.72,44.69
0.15,0.5,0.69,44.25
0.2,0.5,0.76,46.98
0.25,0.5,0.66,42.0
0.3,0.5,0.71,43.3
0.35,0.5,0.64,41.77
0.4,0.5,0.63,42.3
0.45,0.5,0.57,40.2
0.5,0.5,0.59,40.24
0.55,0.5,0.59,38.41
0.6,0.5,0.56,37.72
0.65,0.5,0.58,41.28
0.7,0.5,0.64,40.14
0.75,0.5,0.49,33.03
0.8,0.5,0.47,33.17
0.85,0.5,0.42,33.73
0.9,0.5,0.55,35.31
0.95,0.5,0.32,26.78
0.99,0.5,0.33,27.58
0.0,0.55,0.73,47.26
0.05,0.55,0.68,44.16
0.1,0.55,0.71,45.31
0.15,0.55,0.71,46.74
0.2,0.55,0.66,45.1
0.25,0.55,0.68,44.21
0.3,0.55,0.73,44.93
0.35,0.55,0.6,41.64
0.4,0.55,0.62,40.12
0.45,0.55,0.67,42.48
0.5,0.55,0.61,41.2
0.55,0.55,0.63,41.88
0.6,0.55,0.51,35.72
0.65,0.55,0.65,42.67
0.7,0.55,0.61,42.64
0.75,0.55,0.68,45.47
0.8,0.55,0.51,36.7
0.85,0.55,0.55,39.19
0.9,0.55,0.41,32.86
0.95,0.55,0.38,32.4
0.99,0.55,0.29,29.12
0.0,0.6,0.69,44.3
0.05,0.6,0.58,39.41
0.1,0.6,0.66,43.49
0.15,0.6,0.74,47.5
0.2,0.6,0.64,42.28
0.25,0.6,0.66,44.7
0.3,0.6,0.73,46.93
0.35,0.6,0.7,45.8
0.4,0.6,0.63,41.73
0.45,0.6,0.63,44.87
0.5,0.6,0.6,39.63
0.55,0.6,0.64,43.48
0.6,0.6,0.65,43.48
0.65,0.6,0.63,42.73
0.7,0.6,0.63,40.78
0.75,0.6,0.63,43.5
0.8,0.6,0.53,36.67
0.85,0.6,0.55,41.2
0.9,0.6,0.5,37.82
0.95,0.6,0.48,40.83
0.99,0.6,0.31,30.14
0.0,0.65,0.7,45.89
0.05,0.65,0.68,44.41
0.1,0.65,0.67,43.53
0.15,0.65,0.68,44.62
