homophily_1,homophily_2,sustainability,step
0.0,0.0,0.032,3.043
0.05,0.0,0.031,2.973
0.1,0.0,0.031,2.932
0.15,0.0,0.03,2.907
0.2,0.0,0.036,3.191
0.25,0.0,0.025,2.766
0.3,0.0,0.025,2.724
0.35,0.0,0.017,2.632
0.4,0.0,0.019,2.701
0.45,0.0,0.019,2.663
0.5,0.0,0.015,2.571
0.55,0.0,0.014,2.401
0.6,0.0,0.013,2.416
0.65,0.0,0.012,2.38
0.7,0.0,0.008,2.239
0.75,0.0,0.003,2.187
0.8,0.0,0.004,2.189
0.85,0.0,0.002,2.093
0.9,0.0,0.001,2.043
0.95,0.0,0.002,1.949
0.99,0.0,0.0,2.066
0.0,0.05,0.039,3.454
0.05,0.05,0.035,3.489
0.1,0.05,0.032,3.063
0.15,0.05,0.029,3.074
0.2,0.05,0.016,2.797
0.25,0.05,0.026,2.801
0.3,0.05,0.022,3.052
0.35,0.05,0.027,3.182
0.4,0.05,0.024,2.891
0.45,0.05,0.027,2.847
0.5,0.05,0.014,2.66
0.55,0.05,0.016,2.536
0.6,0.05,0.016,2.384
0.65,0.05,0.008,2.377
0.7,0.05,0.011,2.466
0.75,0.05,0.011,2.285
0.8,0.05,0.009,2.381
0.85,0.05,0.003,2.236
0.9,0.05,0.004,2.225
0.95,0.05,0.003,2.067
0.99,0.05,0.0,2.089
0.0,0.1,0.042,3.649
0.05,0.1,0.045,3.848
0.1,0.1,0.046,3.763
0.15,0.1,0.051,3.915
0.2,0.1,0.036,3.382
0.25,0.1,0.026,3.176
0.3,0.1,0.024,3.071
0.35,0.1,0.031,3.282
0.4,0.1,0.026,3.082
0.45,0.1,0.021,3.037
0.5,0.1,0.03,3.104
0.55,0.1,0.018,2.806
0.6,0.1,0.014,2.642
0.65,0.1,0.008,2.474
0.7,0.1,0.019,2.62
0.75,0.1,0.008,2.439
0.8,0.1,0.008,2.369
0.85,0.1,0.007,2.474
0.9,0.1,0.006,2.288
0.95,0.1,0.004,2.257
0.99,0.1,0.001,2.289
0.0,0.15,0.037,3.605
0.05,0.15,0.05,3.944
0.1,0.15,0.048,3.874
0.15,0.15,0.048,4.086
0.2,0.15,0.042,3.522
0.25,0.15,0.036,3.398
0.3,0.15,0.036,3.52
0.35,0.15,0.026,3.289
0.4,0.15,0.028,3.194
0.45,0.15,0.027,3.123
0.5,0.15,0.017,3.041
0.55,0.15,0.019,3.009
0.6,0.15,0.021,2.856
0.65,0.15,0.014,2.752
0.7,0.15,0.014,2.756
0.75,0.15,0.015,2.596
0.8,0.15,0.007,2.462
0.85,0.15,0.004,2.349
0.9,0.15,0.006,2.456
0.95,0.15,0.003,2.421
0.99,0.15,0.0,2.216
0.0,0.2,0.063,4.809
0.05,0.2,0.06,4.363
0.1,0.2,0.038,3.731
0.15,0.2,0.033,3.34
0.2,0.2,0.049,3.909
0.25,0.2,0.035,3.66
0.3,0.2,0.039,3.664
0.35,0.2,0.032,3.566
0.4,0.2,0.027,3.222
0.45,0.2,0.023,3.292
0.5,0.2,0.023,2.993
0.55,0.2,0.027,3.252
0.6,0.2,0.022,3.299
0.65,0.2,0.009,2.683
0.7,0.2,0.017,3.002
0.75,0.2,0.009,2.773
0.8,0.2,0.011,2.751
0.85,0.2,0.007,2.8
0.9,0.2,0.006,2.636
0.95,0.2,0.002,2.607
0.99,0.2,0.001,2.412
0.0,0.25,0.062,4.632
0.05,0.25,0.056,4.261
0.1,0.25,0.07,4.638
0.15,0.25,0.045,3.893
0.2,0.25,0.05,4.384
0.25,0.25,0.046,4.349
0.3,0.25,0.034,3.743
0.35,0.25,0.04,3.854
0.4,0.25,0.032,3.864
0.45,0.25,0.025,3.541
0.5,0.25,0.027,3.401
0.55,0.25,0.028,3.244
0.6,0.25,0.026,3.523
0.65,0.25,0.023,3.361
0.7,0.25,0.018,3.18
0.75,0.25,0.007,2.945
0.8,0.25,0.01,2.999
0.85,0.25,0.004,2.795
0.9,0.25,0.009,2.84
0.95,0.25,0.003,2.68
0.99,0.25,0.0,2.717
0.0,0.3,0.078,5.172
0.05,0.3,0.065,5.169
0.1,0.3,0.052,4.629
0.15,0.3,0.058,4.616
0.2,0.3,0.054,4.731
0.25,0.3,0.046,4.114
0.3,0.3,0.051,4.165
0.35,0.3,0.048,4.415
0.4,0.3,0.038,4.037
0.45,0.3,0.041,3.993
0.5,0.3,0.034,4.152
0.55,0.3,0.023,3.516
0.6,0.3,0.023,3.628
0.65,0.3,0.017,3.267
0.7,0.3,0.022,3.709
0.75,0.3,0.016,3.053
0.8,0.3,0.007,3.076
0.85,0.3,0.009,2.987
0.9,0.3,0.006,3.068
0.95,0.3,0.001,2.731
0.99,0.3,0.0,2.822
0.0,0.35,0.073,5.53
0.05,0.35,0.072,5.189
0.1,0.35,0.066,5.006
0.15,0.35,0.075,5.347
0.2,0.35,0.06,5.024
0.25,0.35,0.065,5.342
0.3,0.35,0.049,4.339
0.35,0.35,0.051,4.61
0.4,0.35,0.045,4.519
0.45,0.35,0.04,4.229
0.5,0.35,0.037,4.007
0.55,0.35,0.038,4.373
0.6,0.35,0.035,4.365
0.65,0.35,0.021,3.448
0.7,0.35,0.023,3.903
0.75,0.35,0.01,3.298
0.8,0.35,0.011,3.44
0.85,0.35,0.008,3.349
0.9,0.35,0.006,3.128
0.95,0.35,0.001,3.138
0.99,0.35,0.0,2.998
0.0,0.4,0.091,6.583
0.05,0.4,0.086,6.01
0.1,0.4,0.097,6.483
0.15,0.4,0.073,5.266
0.2,0.4,0.064,5.257
0.25,0.4,0.075,5.615
0.3,0.4,0.074,5.531
0.35,0.4,0.054,5.11
0.4,0.4,0.051,4.731
0.45,0.4,0.046,4.837
0.5,0.4,0.041,4.38
0.55,0.4,0.039,4.504
0.6,0.4,0.037,4.348
0.65,0.4,0.028,4.044
0.7,0.4,0.032,4.262
0.75,0.4,0.016,3.987
0.8,0.4,0.013,3.527
0.85,0.4,0.01,3.312
0.9,0.4,0.005,3.344
0.95,0.4,0.002,3.323
0.99,0.4,0.0,3.265
0.0,0.45,0.102,7.015
0.05,0.45,0.093,6.433
0.1,0.45,0.094,6.888
0.15,0.45,0.086,6.03
0.2,0.45,0.068,5.561
0.25,0.45,0.072,5.684
0.3,0.45,0.068,5.913
