homophily_1,homophily_2,sustainability,step
0.0,0.0,0.489,18.063
0.05,0.0,0.503,18.119
0.1,0.0,0.504,17.571
0.15,0.0,0.472,16.551
0.2,0.0,0.49,18.059
0.25,0.0,0.453,16.496
0.3,0.0,0.478,16.795
0.35,0.0,0.462,16.172
0.4,0.0,0.402,14.696
0.45,0.0,0.448,14.854
0.5,0.0,0.447,14.659
0.55,0.0,0.418,14.092
0.6,0.0,0.424,13.912
0.65,0.0,0.379,12.983
0.7,0.0,0.385,12.858
0.75,0.0,0.388,12.769
0.8,0.0,0.363,11.933
0.85,0.0,0.388,12.147
0.9,0.0,0.377,11.706
0.95,0.0,0.353,10.78
0.99,0.0,0.385,11.014
0.0,0.05,0.522,18.786
0.05,0.05,0.491,18.22
0.1,0.05,0.502,18.047
0.15,0.05,0.504,18.022
0.2,0.05,0.462,16.988
0.25,0.05,0.487,17.408
0.3,0.05,0.468,16.651
0.35,0.05,0.46,16.174
0.4,0.05,0.449,16.287
0.45,0.05,0.441,15.064
0.5,0.05,0.442,15.358
0.55,0.05,0.439,15.049
0.6,0.05,0.405,14.344
0.65,0.05,0.412,14.12
0.7,0.05,0.397,13.68
0.75,0.05,0.402,13.073
0.8,0.05,0.404,12.54
0.85,0.05,0.372,11.841
0.9,0.05,0.363,11.788
0.95,0.05,0.383,11.193
0.99,0.05,0.349,10.995
0.0,0.1,0.529,19.399
0.05,0.1,0.532,19.475
0.1,0.1,0.502,18.919
0.15,0.1,0.487,17.744
0.2,0.1,0.504,18.531
0.25,0.1,0.484,17.489
0.3,0.1,0.481,16.825
0.35,0.1,0.506,17.493
0.4,0.1,0.465,16.824
0.45,0.1,0.445,15.821
0.5,0.1,0.46,16.17
0.55,0.1,0.45,15.822
0.6,0.1,0.436,15.25
0.65,0.1,0.431,14.892
0.7,0.1,0.432,14.191
0.75,0.1,0.404,13.712
0.8,0.1,0.395,13.151
0.85,0.1,0.398,12.462
0.9,0.1,0.386,12.442
0.95,0.1,0.362,11.765
0.99,0.1,0.38,11.64
0.0,0.15,0.551,20.822
0.05,0.15,0.527,19.484
0.1,0.15,0.53,20.051
0.15,0.15,0.505,18.698
0.2,0.15,0.519,19.766
0.25,0.15,0.491,18.665
0.3,0.15,0.493,18.18
0.35,0.15,0.457,16.995
0.4,0.15,0.479,17.982
0.45,0.15,0.443,17.242
0.5,0.15,0.47,16.302
0.55,0.15,0.437,15.8
0.6,0.15,0.418,15.395
0.65,0.15,0.397,15.083
0.7,0.15,0.398,14.669
0.75,0.15,0.404,13.903
0.8,0.15,0.407,13.502
0.85,0.15,0.384,13.666
0.9,0.15,0.375,12.478
0.95,0.15,0.394,12.265
0.99,0.15,0.359,11.618
0.0,0.2,0.552,21.088
0.05,0.2,0.54,20.65
0.1,0.2,0.545,20.402
0.15,0.2,0.514,20.325
0.2,0.2,0.521,19.815
0.25,0.2,0.532,19.905
0.3,0.2,0.51,19.322
0.35,0.2,0.495,18.14
0.4,0.2,0.482,18.284
0.45,0.2,0.482,17.984
0.5,0.2,0.464,17.781
0.55,0.2,0.445,16.827
0.6,0.2,0.433,16.39
0.65,0.2,0.42,15.56
0.7,0.2,0.413,15.2
0.75,0.2,0.414,14.695
0.8,0.2,0.389,14.469
0.85,0.2,0.382,13.649
0.9,0.2,0.382,13.511
0.95,0.2,0.389,12.685
0.99,0.2,0.405,12.246
0.0,0.25,0.57,21.886
0.05,0.25,0.566,22.17
0.1,0.25,0.586,22.201
0.15,0.25,0.537,20.851
0.2,0.25,0.536,20.959
0.25,0.25,0.53,20.119
0.3,0.25,0.511,19.864
0.35,0.25,0.495,19.863
0.4,0.25,0.473,18.884
0.45,0.25,0.48,18.002
0.5,0.25,0.475,18.792
0.55,0.25,0.466,17.915
0.6,0.25,0.442,16.185
0.65,0.25,0.438,16.879
0.7,0.25,0.43,17.018
0.75,0.25,0.423,15.701
0.8,0.25,0.415,15.219
0.85,0.25,0.413,14.73
0.9,0.25,0.37,13.78
0.95,0.25,0.367,13.374
0.99,0.25,0.376,13.032
0.0,0.3,0.588,22.978
