homophily_1,homophily_2,sustainability,step
0.0,0.0,0.49,32.41
0.05,0.0,0.47,29.84
0.1,0.0,0.52,31.5
0.15,0.0,0.52,32.11
0.2,0.0,0.56,34.02
0.25,0.0,0.55,33.37
0.3,0.0,0.51,31.5
0.35,0.0,0.56,31.24
0.4,0.0,0.49,29.55
0.45,0.0,0.46,27.67
0.5,0.0,0.45,28.21
0.55,0.0,0.49,28.16
0.6,0.0,0.35,23.39
0.65,0.0,0.45,27.62
0.7,0.0,0.44,25.11
0.75,0.0,0.39,21.74
0.8,0.0,0.41,24.75
0.85,0.0,0.37,23.67
0.9,0.0,0.49,25.2
0.95,0.0,0.21,16.46
0.99,0.0,0.23,16.76
0.0,0.05,0.63,37.65
0.05,0.05,0.53,34.55
0.1,0.05,0.62,36.76
0.15,0.05,0.54,31.15
0.2,0.05,0.53,32.49
0.25,0.05,0.5,31.27
0.3,0.05,0.46,28.83
0.35,0.05,0.55,33.31
0.4,0.05,0.48,28.43
0.45,0.05,0.43,26.83
0.5,0.05,0.45,28.28
0.55,0.05,0.48,28.32
0.6,0.05,0.4,25.76
0.65,0.05,0.44,26.67
0.7,0.05,0.49,27.91
0.75,0.05,0.42,26.37
0.8,0.05,0.43,25.09
0.85,0.05,0.3,19.92
0.9,0.05,0.34,21.2
0.95,0.05,0.37,20.83
0.99,0.05,0.34,19.59
0.0,0.1,0.67,39.45
0.05,0.1,0.63,38.15
0.1,0.1,0.61,36.81
0.15,0.1,0.59,35.51
0.2,0.1,0.55,33.58
0.25,0.1,0.46,28.76
0.3,0.1,0.5,31.13
0.35,0.1,0.51,31.38
0.4,0.1,0.51,30.41
0.45,0.1,0.59,33.32
0.5,0.1,0.53,30.89
0.55,0.1,0.44,28.2
0.6,0.1,0.51,29.88
0.65,0.1,0.47,28.41
0.7,0.1,0.45,27.54
0.75,0.1,0.37,22.6
0.8,0.1,0.42,24.93
0.85,0.1,0.27,19.28
0.9,0.1,0.45,25.86
0.95,0.1,0.31,20.36
0.99,0.1,0.29,18.94
0.0,0.15,0.58,36.93
0.05,0.15,0.47,31.25
0.1,0.15,0.54,32.61
0.15,0.15,0.66,38.18
0.2,0.15,0.54,35.27
0.25,0.15,0.63,36.43
0.3,0.15,0.53,32.67
0.35,0.15,0.58,31.35
0.4,0.15,0.58,36.15
0.45,0.15,0.48,29.64
0.5,0.15,0.52,31.69
0.55,0.15,0.46,30.75
0.6,0.15,0.45,28.23
0.65,0.15,0.48,30.12
0.7,0.15,0.4,25.41
0.75,0.15,0.49,28.88
0.8,0.15,0.46,27.12
0.85,0.15,0.33,23.48
0.9,0.15,0.35,20.98
0.95,0.15,0.34,23.01
0.99,0.15,0.34,20.8
0.0,0.2,0.62,38.42
0.05,0.2,0.6,36.57
0.1,0.2,0.61,35.81
0.15,0.2,0.61,37.81
0.2,0.2,0.6,38.65
0.25,0.2,0.53,32.13
0.3,0.2,0.6,36.18
0.35,0.2,0.45,30.04
0.4,0.2,0.52,31.46
0.45,0.2,0.55,33.96
0.5,0.2,0.54,32.78
0.55,0.2,0.52,32.86
0.6,0.2,0.49,29.56
0.65,0.2,0.47,29.71
0.7,0.2,0.33,23.4
0.75,0.2,0.46,29.26
0.8,0.2,0.45,27.39
0.85,0.2,0.45,27.03
0.9,0.2,0.42,24.19
0.95,0.2,0.29,21.79
0.99,0.2,0.3,21.48
0.0,0.25,0.6,39.04
0.05,0.25,0.68,42.07
0.1,0.25,0.66,40.53
0.15,0.25,0.6,38.38
0.2,0.25,0.67,40.67
0.25,0.25,0.63,39.65
0.3,0.25,0.45,31.22
0.35,0.25,0.73,41.66
0.4,0.25,0.55,33.32
0.45,0.25,0.63,37.72
0.5,0.25,0.53,32.22
0.55,0.25,0.63,37.33
0.6,0.25,0.46,30.26
0.65,0.25,0.56,34.9
0.7,0.25,0.44,28.8
0.75,0.25,0.47,29.62
0.8,0.25,0.52,31.76
0.85,0.25,0.36,25.03
0.9,0.25,0.37,24.62
0.95,0.25,0.34,23.48
0.99,0.25,0.39,23.42
0.0,0.3,0.64,39.57
0.05,0.3,0.61,38.88
0.1,0.3,0.68,41.12
0.15,0.3,0.66,39.5
0.2,0.3,0.62,37.78
0.25,0.3,0.56,36.79
0.3,0.3,0.54,34.2
0.35,0.3,0.65,40.55
0.4,0.3,0.61,38.71
0.45,0.3,0.6,36.38
0.5,0.3,0.59,35.24
0.55,0.3,0.43,30.65
0.6,0.3,0.48,33.16
0.65,0.3,0.5,32.11
0.7,0.3,0.52,32.74
0.75,0.3,0.38,26.99
0.8,0.3,0.41,26.65
0.85,0.3,0.41,26.15
0.9,0.3,0.31,24.07
0.95,0.3,0.28,22.62
0.99,0.3,0.36,23.78
0.0,0.35,0.64,40.23
0.05,0.35,0.67,41.07
0.1,0.35,0.58,38.71
0.15,0.35,0.76,46.61
0.2,0.35,0.6,37.19
0.25,0.35,0.56,35.64
0.3,0.35,0.63,38.83
0.35,0.35,0.63,41.13
0.4,0.35,0.64,39.44
0.45,0.35,0.63,37.86
0.5,0.35,0.48,31.78
0.55,0.35,0.6,37.72
0.6,0.35,0.6,36.64
0.65,0.35,0.58,36.9
0.7,0.35,0.51,32.26
0.75,0.35,0.53,31.41
0.8,0.35,0.42,27.1
0.85,0.35,0.35,26.94
0.9,0.35,0.4,26.26
0.95,0.35,0.31,23.14
0.99,0.35,0.28,22.75
0.0,0.4,0.66,41.63
0.05,0.4,0.66,42.77
0.1,0.4,0.69,42.61
0.15,0.4,0.66,41.81
0.2,0.4,0.67,40.89
0.25,0.4,0.66,42.23
0.3,0.4,0.58,38.03
0.35,0.4,0.63,39.03
0.4,0.4,0.58,37.7
0.45,0.4,0.56,37.19
0.5,0.4,0.58,35.52
0.55,0.4,0.71,42.83
0.6,0.4,0.49,35.38
0.65,0.4,0.52,34.49
0.7,0.4,0.59,35.89
0.75,0.4,0.5,33.16
0.8,0.4,0.54,36.35
0.85,0.4,0.46,28.52
0.9,0.4,0.36,27.4
0.95,0.4,0.45,28.26
0.99,0.4,0.31,24.78
0.0,0.45,0.65,41.9
0.05,0.45,0.67,43.18
0.1,0.45,0.71,44.79
0.15,0.45,0.66,41.7
0.2,0.45,0.68,43.27
0.25,0.45,0.62,39.45
0.3,0.45,0.66,42.85
0.35,0.45,0.6,38.27
0.4,0.45,0.59,38.35
0.45,0.45,0.55,36.34
0.5,0.45,0.52,35.67
0.55,0.45,0.53,34.87
0.6,0.45,0.56,37.2
0.65,0.45,0.54,36.22
0.7,0.45,0.55,36.89
0.75,0.45,0.4,29.74
0.8,0.45,0.52,35.26
0.85,0.45,0.42,30.69
0.9,0.45,0.45,32.39
0.95,0.45,0.35,28.13
0.99,0.45,0.37,26.27
0.0,0.5,0.69,43.88
0.05,0.5,0.67,40.52
0.1,0.5,0.74,45.94
0.15,0.5,0.76,46.95
0.2,0.5,0.76,48.33
0.25,0.5,0.65,40.96
0.3,0.5,0.63,41.35
0.35,0.5,0.68,41.92
0.4,0.5,0.75,48.47
0.45,0.5,0.74,45.1
0.5,0.5,0.64,42.86
0.55,0.5,0.64,41.89
0.6,0.5,0.6,42.56
0.65,0.5,0.57,40.27
0.7,0.5,0.51,38.42
0.75,0.5,0.54,35.99
0.8,0.5,0.42,37.15
0.85,0.5,0.5,34.14
0.9,0.5,0.58,38.02
0.95,0.5,0.41,30.61
0.99,0.5,0.27,26.58
0.0,0.55,0.71,48.11
0.05,0.55,0.71,46.7
0.1,0.55,0.7,45.48
0.15,0.55,0.67,45.05
0.2,0.55,0.67,44.6
0.25,0.55,0.74,46.78
0.3,0.55,0.74,48.04
0.35,0.55,0.71,45.33
0.4,0.55,0.65,44.16
0.45,0.55,0.66,42.43
0.5,0.55,0.59,42.49
0.55,0.55,0.68,41.86
0.6,0.55,0.66,42.7
0.65,0.55,0.64,43.44
