homophily_1,homophily_2,sustainability,step
0.25,0.4,0.607,24.823
0.3,0.4,0.617,23.992
0.35,0.4,0.589,23.506
0.4,0.4,0.562,22.824
0.45,0.4,0.568,22.131
0.5,0.4,0.555,22.347
0.55,0.4,0.526,20.59
0.6,0.4,0.516,20.83
0.65,0.4,0.5,20.104
0.7,0.4,0.477,19.976
0.75,0.4,0.467,18.399
0.8,0.4,0.435,18.475
0.85,0.4,0.406,17.565
0.9,0.4,0.424,17.384
0.95,0.4,0.395,16.144
0.99,0.4,0.357,15.197
0.0,0.45,0.667,27.086
0.05,0.45,0.636,26.052
0.1,0.45,0.621,25.996
0.15,0.45,0.66,26.123
0.2,0.45,0.634,26.19
0.25,0.45,0.638,25.045
0.3,0.45,0.603,24.975
0.35,0.45,0.62,24.406
0.4,0.45,0.616,24.232
0.45,0.45,0.609,24.378
0.5,0.45,0.579,23.34
0.55,0.45,0.576,23.125
0.6,0.45,0.536,22.325
0.65,0.45,0.516,22.587
0.7,0.45,0.52,22.016
0.75,0.45,0.467,20.293
0.8,0.45,0.501,19.882
0.85,0.45,0.42,18.469
0.9,0.45,0.414,18.049
0.95,0.45,0.387,16.796
0.99,0.45,0.35,16.279
0.0,0.5,0.691,27.323
0.05,0.5,0.657,27.191
0.1,0.5,0.699,27.192
0.15,0.5,0.688,27.057
0.2,0.5,0.664,27.185
0.25,0.5,0.646,26.733
0.3,0.5,0.664,26.737
0.35,0.5,0.641,26.096
0.4,0.5,0.64,25.543
0.45,0.5,0.632,24.683
0.5,0.5,0.607,25.627
0.55,0.5,0.591,24.448
0.6,0.5,0.567,24.218
0.65,0.5,0.554,24.181
0.7,0.5,0.522,22.252
0.75,0.5,0.491,22.03
0.8,0.5,0.464,20.748
0.85,0.5,0.459,20.017
0.9,0.5,0.394,19.289
0.95,0.5,0.399,18.807
0.99,0.5,0.363,17.579
0.0,0.55,0.691,28.883
0.05,0.55,0.689,28.643
0.1,0.55,0.719,28.718
0.15,0.55,0.678,28.034
0.2,0.55,0.67,27.404
0.25,0.55,0.666,27.276
0.3,0.55,0.653,26.917
0.35,0.55,0.656,26.822
0.4,0.55,0.663,27.454
0.45,0.55,0.645,26.602
0.5,0.55,0.629,26.545
0.55,0.55,0.618,26.029
0.6,0.55,0.609,25.492
0.65,0.55,0.577,24.661
0.7,0.55,0.552,24.133
0.75,0.55,0.553,24.152
0.8,0.55,0.497,23.526
0.85,0.55,0.466,22.936
0.9,0.55,0.442,22.464
0.95,0.55,0.39,20.846
0.99,0.55,0.344,19.301
0.0,0.6,0.719,29.603
0.05,0.6,0.702,29.425
0.1,0.6,0.722,30.082
0.15,0.6,0.719,29.904
0.2,0.6,0.686,28.436
0.25,0.6,0.707,28.832
0.3,0.6,0.686,27.902
0.35,0.6,0.688,28.592
0.4,0.6,0.696,28.536
0.45,0.6,0.713,28.794
0.5,0.6,0.669,28.191
0.55,0.6,0.655,28.029
0.6,0.6,0.604,26.808
0.65,0.6,0.642,27.136
0.7,0.6,0.569,26.704
0.75,0.6,0.579,27.04
0.8,0.6,0.552,27.278
0.85,0.6,0.534,25.286
0.9,0.6,0.453,24.559
0.95,0.6,0.364,23.393
0.99,0.6,0.365,23.08
0.0,0.65,0.728,30.591
0.05,0.65,0.739,30.726
0.1,0.65,0.697,29.123
0.15,0.65,0.747,30.653
0.2,0.65,0.692,29.635
0.25,0.65,0.67,28.716
0.3,0.65,0.709,30.188
0.35,0.65,0.716,29.632
0.4,0.65,0.704,29.692
0.45,0.65,0.719,29.33
0.5,0.65,0.674,28.483
0.55,0.65,0.692,29.738
0.6,0.65,0.667,28.876
0.65,0.65,0.648,28.734
0.7,0.65,0.634,29.339
0.75,0.65,0.652,28.107
0.8,0.65,0.59,29.268
0.85,0.65,0.562,28.95
0.9,0.65,0.527,27.382
0.95,0.65,0.427,27.56
0.99,0.65,0.386,25.926
0.0,0.7,0.732,30.688
0.05,0.7,0.739,30.828
0.1,0.7,0.744,31.2
0.15,0.7,0.714,30.179
0.2,0.7,0.731,31.254
0.25,0.7,0.709,29.698
0.3,0.7,0.707,29.723
0.35,0.7,0.73,29.885
0.4,0.7,0.736,31.165
0.45,0.7,0.713,30.282
0.5,0.7,0.726,30.459
0.55,0.7,0.727,30.411
0.6,0.7,0.711,30.696
0.65,0.7,0.699,30.514
0.7,0.7,0.687,29.991
0.75,0.7,0.673,31.645
0.8,0.7,0.674,31.149
0.85,0.7,0.656,32.485
0.9,0.7,0.585,32.664
0.95,0.7,0.506,34.566
0.99,0.7,0.411,33.421
0.0,0.75,0.696,29.809
0.05,0.75,0.711,30.698
0.1,0.75,0.723,30.182
0.15,0.75,0.713,30.166
0.2,0.75,0.697,29.791
0.25,0.75,0.73,30.752
0.3,0.75,0.704,30.059
0.35,0.75,0.739,30.858
0.4,0.75,0.744,31.322
0.45,0.75,0.738,31.613
0.5,0.75,0.731,31.017
0.55,0.75,0.753,31.297
0.6,0.75,0.722,31.078
0.65,0.75,0.733,31.586
0.7,0.75,0.731,32.943
0.75,0.75,0.714,32.444
0.8,0.75,0.717,32.899
0.85,0.75,0.689,32.075
0.9,0.75,0.672,38.505
0.95,0.75,0.585,42.577
0.99,0.75,0.43,55.889
0.0,0.8,0.726,31.376
0.05,0.8,0.69,30.431
0.1,0.8,0.712,31.037
0.15,0.8,0.734,31.276
0.2,0.8,0.711,31.053
0.25,0.8,0.697,30.456
0.3,0.8,0.722,31.614
0.35,0.8,0.726,31.457
0.4,0.8,0.748,32.218
0.45,0.8,0.748,31.338
0.5,0.8,0.76,32.47
0.55,0.8,0.73,31.397
0.6,0.8,0.743,31.849
0.65,0.8,0.748,32.812
0.7,0.8,0.757,33.415
0.75,0.8,0.72,31.478
0.8,0.8,0.735,32.458
0.85,0.8,0.745,35.938
0.9,0.8,0.718,38.208
0.95,0.8,0.722,43.866
0.99,0.8,0.66,96.461
0.0,0.85,0.669,29.727
0.05,0.85,0.682,30.694
0.1,0.85,0.688,30.402
0.15,0.85,0.683,30.38
0.2,0.85,0.683,30.362
0.25,0.85,0.694,31.031
0.3,0.85,0.691,29.766
0.35,0.85,0.702,30.512
0.4,0.85,0.705,30.891
0.45,0.85,0.731,31.9
0.5,0.85,0.708,30.578
0.55,0.85,0.718,31.541
0.6,0.85,0.714,31.065
0.65,0.85,0.73,31.833
0.7,0.85,0.72,31.439
0.75,0.85,0.714,31.486
0.8,0.85,0.766,34.932
0.85,0.85,0.73,34.511
0.9,0.85,0.726,36.431
0.95,0.85,0.738,43.654
0.99,0.85,0.748,94.501
0.0,0.9,0.602,27.934
0.05,0.9,0.628,28.417
0.1,0.9,0.594,27.128
0.15,0.9,0.625,28.164
0.2,0.9,0.635,29.074
0.25,0.9,0.631,28.952
0.3,0.9,0.672,30.541
0.35,0.9,0.618,28.522
0.4,0.9,0.676,29.814
0.45,0.9,0.66,29.842
0.5,0.9,0.67,29.975
0.55,0.9,0.691,31.003
0.6,0.9,0.708,31.379
0.65,0.9,0.688,30.232
0.7,0.9,0.7,31.205
0.75,0.9,0.738,32.776
0.8,0.9,0.725,32.598
0.85,0.9,0.715,32.524
0.9,0.9,0.721,34.866
0.95,0.9,0.74,41.048
0.99,0.9,0.758,82.568
0.0,0.95,0.514,24.613
0.05,0.95,0.551,26.275
0.1,0.95,0.514,24.418
0.15,0.95,0.535,25.031
0.2,0.95,0.524,24.817
0.25,0.95,0.523,24.554
0.3,0.95,0.57,26.62
0.35,0.95,0.564,25.814
0.4,0.95,0.558,26.089
0.45,0.95,0.572,26.572
0.5,0.95,0.58,27.399
0.55,0.95,0.593,27.25
0.6,0.95,0.624,29.109
0.65,0.95,0.616,28.487
0.7,0.95,0.661,29.6
0.75,0.95,0.662,30.811
0.8,0.95,0.671,30.909
0.85,0.95,0.675,31.835
0.9,0.95,0.684,32.082
0.95,0.95,0.686,37.119
0.99,0.95,0.698,75.362
0.0,0.99,0.376,18.747
0.05,0.99,0.378,18.507
0.1,0.99,0.372,18.715
0.15,0.99,0.393,19.568
0.2,0.99,0.355,18.262
0.25,0.99,0.397,19.272
0.3,0.99,0.36,18.44
0.35,0.99,0.374,18.941
0.4,0.99,0.422,21.049
0.45,0.99,0.409,21.037
0.5,0.99,0.43,21.847
0.55,0.99,0.415,21.885
0.6,0.99,0.41,21.6
0.65,0.99,0.444,22.939
0.7,0.99,0.479,24.072
0.75,0.99,0.494,24.763
0.8,0.99,0.483,25.143
0.85,0.99,0.583,28.988
0.9,0.99,0.545,28.692
0.95,0.99,0.61,34.173
0.99,0.99,0.601,58.509
