homophily_1,homophily_2,sustainability,step
0.25,0.4,0.08,7.74
0.3,0.4,0.07,7.38
0.35,0.4,0.05,6.48
0.4,0.4,0.05,5.47
0.45,0.4,0.05,6.15
0.5,0.4,0.07,7.97
0.55,0.4,0.03,4.89
0.6,0.4,0.07,7.05
0.65,0.4,0.01,3.61
0.7,0.4,0.04,6.31
0.75,0.4,0.04,6.08
0.8,0.4,0.01,3.45
0.85,0.4,0.02,5.55
0.9,0.4,0.02,4.72
0.95,0.4,0.01,3.99
0.99,0.4,0.0,2.72
0.0,0.45,0.1,8.82
0.05,0.45,0.12,9.72
0.1,0.45,0.12,9.92
0.15,0.45,0.08,7.48
0.2,0.45,0.08,7.58
0.25,0.45,0.16,12.9
0.3,0.45,0.04,5.37
0.35,0.45,0.09,9.5
0.4,0.45,0.06,7.28
0.45,0.45,0.06,5.65
0.5,0.45,0.01,4.17
0.55,0.45,0.06,7.36
0.6,0.45,0.04,5.32
0.65,0.45,0.02,3.81
0.7,0.45,0.02,5.28
0.75,0.45,0.02,4.87
0.8,0.45,0.04,5.88
0.85,0.45,0.03,4.87
0.9,0.45,0.02,4.68
0.95,0.45,0.02,4.35
0.99,0.45,0.0,4.13
0.0,0.5,0.11,9.5
0.05,0.5,0.13,9.48
0.1,0.5,0.17,13.03
0.15,0.5,0.15,11.35
0.2,0.5,0.18,14.14
0.25,0.5,0.12,11.55
0.3,0.5,0.08,7.27
0.35,0.5,0.15,12.41
0.4,0.5,0.04,5.89
0.45,0.5,0.07,6.83
0.5,0.5,0.02,5.49
0.55,0.5,0.11,9.56
0.6,0.5,0.03,5.73
0.65,0.5,0.03,4.28
0.7,0.5,0.05,7.42
0.75,0.5,0.03,4.83
0.8,0.5,0.01,5.29
0.85,0.5,0.02,6.25
0.9,0.5,0.0,3.99
0.95,0.5,0.01,5.35
0.99,0.5,0.0,3.34
0.0,0.55,0.11,10.34
0.05,0.55,0.14,11.4
0.1,0.55,0.1,10.37
0.15,0.55,0.18,14.23
0.2,0.55,0.14,12.5
0.25,0.55,0.1,8.96
0.3,0.55,0.08,9.84
0.35,0.55,0.1,10.03
0.4,0.55,0.11,10.3
0.45,0.55,0.13,10.69
0.5,0.55,0.08,7.46
0.55,0.55,0.1,10.24
0.6,0.55,0.11,10.4
0.65,0.55,0.08,8.0
0.7,0.55,0.05,6.47
0.75,0.55,0.07,7.58
0.8,0.55,0.02,6.58
0.85,0.55,0.02,5.67
0.9,0.55,0.0,5.91
0.95,0.55,0.02,5.71
0.99,0.55,0.0,4.7
0.0,0.6,0.17,15.32
0.05,0.6,0.13,10.92
0.1,0.6,0.18,13.86
0.15,0.6,0.17,12.77
0.2,0.6,0.11,11.18
0.25,0.6,0.16,13.6
0.3,0.6,0.12,11.91
0.35,0.6,0.11,10.68
0.4,0.6,0.09,9.14
0.45,0.6,0.1,10.0
0.5,0.6,0.12,11.55
0.55,0.6,0.06,7.09
0.6,0.6,0.05,8.26
0.65,0.6,0.04,6.58
0.7,0.6,0.07,8.92
0.75,0.6,0.06,7.14
0.8,0.6,0.04,6.71
0.85,0.6,0.05,9.26
0.9,0.6,0.03,7.23
0.95,0.6,0.01,4.71
0.99,0.6,0.0,4.47
0.0,0.65,0.21,16.34
0.05,0.65,0.16,13.32
0.1,0.65,0.17,12.86
0.15,0.65,0.14,12.03
0.2,0.65,0.12,10.85
0.25,0.65,0.2,17.61
0.3,0.65,0.2,15.2
0.35,0.65,0.15,13.0
0.4,0.65,0.1,9.32
0.45,0.65,0.18,15.9
0.5,0.65,0.09,8.0
0.55,0.65,0.08,8.74
0.6,0.65,0.15,14.65
0.65,0.65,0.14,12.55
0.7,0.65,0.14,12.17
0.75,0.65,0.08,8.82
0.8,0.65,0.08,9.38
