hmin,hmaj,clustering,reciprocity
0,-0.1,0.0864999544871084,0.0211
0,-0.1,0.08673943712496653,0.0184
0,-0.1,0.08665926649387073,0.0212
0,-0.1,0.08689184396156023,0.017
0,-0.1,0.08710158656451637,0.0196
0,-0.1,0.08646717631250733,0.0203
0,-0.1,0.08690075459740444,0.0226
0,-0.1,0.08632157062243392,0.0193
0,-0.1,0.0869631002804971,0.0211
0,-0.1,0.08665264917174817,0.0188
0,-0.1,0.08704752792682051,0.0192
0,-0.1,0.08674791260617631,0.0232
0,-0.1,0.0867569338088077,0.0223
0,-0.1,0.08706552620827024,0.0227
0,-0.1,0.08709964477130383,0.0194
0,-0.1,0.08655725002755542,0.0177
0,-0.1,0.08650841543485267,0.0204
0,-0.1,0.08684689960332898,0.0192
0,-0.1,0.08673667155368384,0.0209
0,-0.1,0.08717590903016968,0.0206
0,-0.1,0.0868071753801834,0.0206
0,-0.1,0.08710414162932634,0.0209
0,-0.1,0.08697923456513222,0.0177
0,-0.1,0.0864107572433139,0.0187
0,-0.1,0.08611353171320413,0.0197
0,-0.1,0.08605088428986024,0.0188
0,-0.1,0.08604294301493312,0.0219
0,-0.1,0.08630377710086977,0.0171
0,-0.1,0.08698234928264956,0.0175
0,-0.1,0.08674787749375105,0.0211
0,-0.1,0.08655659922206951,0.019
0,-0.1,0.08644546662540287,0.0187
0,-0.1,0.08619376486632736,0.0195
0,-0.1,0.0865498986811727,0.0215
0,-0.1,0.08604094953346755,0.0205
0,-0.1,0.0862940587229111,0.0185
0,-0.1,0.08688444399061176,0.0191
0,-0.1,0.08713117080407241,0.0209
0,-0.1,0.08660742175975619,0.0185
0,-0.1,0.08712799377936385,0.0188
0,-0.1,0.08674057106513927,0.0211
0,-0.1,0.08692953722259092,0.0215
0,-0.1,0.08705009303657672,0.0201
0,-0.1,0.08630831547128823,0.0205
0,-0.1,0.08660994893187089,0.0226
0,-0.1,0.08690315803742256,0.0194
0,-0.1,0.0871030855575197,0.0213
0,-0.1,0.08670736044180676,0.0205
0,-0.1,0.08640259835155127,0.0224
0,-0.1,0.0866998728008759,0.0192
0,-0.1,0.08623887195725499,0.0204
0,-0.1,0.08657864724911428,0.0208
0,-0.1,0.08632481610188548,0.0207
0,-0.1,0.08735077475509091,0.0196
0,-0.1,0.08701337773315122,0.0208
0,-0.1,0.08708568388176911,0.02
0,-0.1,0.08678636667675096,0.0209
0,-0.1,0.08692318596720064,0.0215
0,-0.1,0.08601014336965203,0.0211
0,-0.1,0.08703035921515255,0.0214
0,-0.1,0.08673360753115232,0.0209
0,-0.1,0.08681460841114857,0.0201
0,-0.1,0.08702357814989539,0.0198
0,-0.1,0.08727884956287264,0.0227
0,-0.1,0.08640975389823674,0.0188
