step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.003,0.02,0.002105263157894737,1
2,0.005,0.04,0.003157894736842105,1
3,0.004,0.02,0.003157894736842105,1
4,0.003,0.0,0.003157894736842105,1
5,0.002,0.0,0.002105263157894737,1
6,0.002,0.0,0.002105263157894737,1
7,0.002,0.0,0.002105263157894737,1
8,0.004,0.0,0.004210526315789474,1
9,0.006,0.0,0.00631578947368421,1
10,0.005,0.0,0.005263157894736842,1
11,0.008,0.0,0.008421052631578947,1
12,0.01,0.0,0.010526315789473684,1
13,0.009,0.0,0.009473684210526316,1
14,0.009,0.0,0.009473684210526316,1
15,0.007,0.0,0.007368421052631579,1
16,0.011,0.0,0.011578947368421053,1
17,0.009,0.0,0.009473684210526316,1
18,0.011,0.0,0.011578947368421053,1
19,0.008,0.0,0.008421052631578947,1
20,0.01,0.0,0.010526315789473684,1
21,0.007,0.0,0.007368421052631579,1
22,0.022,0.0,0.023157894736842106,1
23,0.031,0.0,0.03263157894736842,1
24,0.035,0.0,0.03684210526315789,1
25,0.031,0.0,0.03263157894736842,1
26,0.032,0.0,0.03368421052631579,1
27,0.033,0.0,0.034736842105263156,1
28,0.031,0.0,0.03263157894736842,1
29,0.027,0.0,0.028421052631578948,1
30,0.029,0.0,0.030526315789473683,1
31,0.035,0.0,0.03684210526315789,1
32,0.042,0.0,0.04421052631578947,1
33,0.066,0.0,0.06947368421052631,1
34,0.081,0.0,0.08526315789473685,1
35,0.092,0.0,0.0968421052631579,1
36,0.105,0.0,0.11052631578947368,1
37,0.119,0.0,0.12526315789473685,1
38,0.151,0.0,0.15894736842105264,1
39,0.191,0.0,0.20105263157894737,1
40,0.238,0.0,0.2505263157894737,1
41,0.269,0.02,0.28210526315789475,1
42,0.325,0.04,0.34,1
43,0.341,0.04,0.3568421052631579,1
44,0.386,0.04,0.40421052631578946,1
45,0.411,0.02,0.43157894736842106,1
46,0.461,0.02,0.4842105263157895,1
47,0.491,0.04,0.5147368421052632,1
48,0.518,0.08,0.5410526315789473,1
49,0.589,0.06,0.6168421052631579,1
50,0.652,0.08,0.6821052631578948,1
51,0.668,0.16,0.6947368421052632,1
52,0.688,0.06,0.7210526315789474,1
53,0.706,0.04,0.7410526315789474,1
54,0.732,0.06,0.7673684210526316,1
55,0.773,0.1,0.8084210526315789,1
56,0.8,0.12,0.8357894736842105,1
57,0.829,0.18,0.8631578947368421,1
58,0.841,0.14,0.8778947368421053,1
59,0.86,0.16,0.8968421052631579,1
60,0.881,0.14,0.92,1
61,0.885,0.24,0.9189473684210526,1
62,0.891,0.26,0.9242105263157895,1
63,0.903,0.24,0.9378947368421052,1
64,0.904,0.32,0.9347368421052632,1
65,0.902,0.34,0.9315789473684211,1
66,0.908,0.34,0.9378947368421052,1
67,0.914,0.34,0.9442105263157895,1
68,0.918,0.44,0.9431578947368421,1
69,0.917,0.5,0.9389473684210526,1
70,0.926,0.56,0.9452631578947368,1
71,0.943,0.68,0.9568421052631579,1
72,0.95,0.7,0.9631578947368421,1
73,0.962,0.82,0.9694736842105263,1
74,0.959,0.86,0.9642105263157895,1
75,0.971,0.9,0.9747368421052631,1
76,0.975,0.94,0.9768421052631578,1
77,0.977,0.92,0.98,1
78,0.976,0.94,0.9778947368421053,1
79,0.98,0.98,0.98,1
80,0.982,1.0,0.9810526315789474,1
81,0.987,1.0,0.9863157894736843,1
82,0.988,1.0,0.9873684210526316,1
83,0.989,1.0,0.988421052631579,1
84,0.995,1.0,0.9947368421052631,1
85,0.992,1.0,0.991578947368421,1
86,0.993,1.0,0.9926315789473684,1
87,0.991,1.0,0.9905263157894737,1
88,0.989,1.0,0.988421052631579,1
89,0.986,1.0,0.9852631578947368,1
90,0.99,1.0,0.9894736842105263,1
91,0.991,1.0,0.9905263157894737,1
92,0.993,1.0,0.9926315789473684,1
93,0.994,1.0,0.9936842105263158,1
94,0.995,1.0,0.9947368421052631,1
95,0.999,1.0,0.9989473684210526,1
96,1.0,1.0,1.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.006,0.1,0.0010526315789473684,2
2,0.007,0.12,0.0010526315789473684,2
3,0.011,0.16,0.003157894736842105,2
4,0.011,0.12,0.005263157894736842,2
5,0.021,0.14,0.014736842105263158,2
6,0.024,0.18,0.015789473684210527,2
7,0.022,0.16,0.014736842105263158,2
8,0.024,0.16,0.016842105263157894,2
