step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.02,0.0,1
1,0.001,0.0,0.0010526315789473684,1
2,0.0,0.0,0.0,1
0,0.001,0.02,0.0,2
1,0.003,0.06,0.0,2
2,0.012,0.08,0.008421052631578947,2
3,0.028,0.1,0.024210526315789474,2
4,0.043,0.14,0.037894736842105266,2
5,0.07,0.18,0.06421052631578947,2
6,0.078,0.2,0.07157894736842105,2
7,0.116,0.22,0.11052631578947368,2
8,0.159,0.16,0.15894736842105264,2
9,0.211,0.18,0.21263157894736842,2
10,0.234,0.2,0.23578947368421052,2
11,0.248,0.16,0.25263157894736843,2
12,0.281,0.26,0.28210526315789475,2
13,0.318,0.34,0.31684210526315787,2
14,0.385,0.5,0.37894736842105264,2
15,0.472,0.7,0.46,2
16,0.549,0.7,0.5410526315789473,2
17,0.585,0.58,0.5852631578947368,2
18,0.625,0.64,0.6242105263157894,2
19,0.684,0.7,0.6831578947368421,2
20,0.732,0.76,0.7305263157894737,2
21,0.771,0.9,0.7642105263157895,2
22,0.822,0.94,0.8157894736842105,2
23,0.874,0.9,0.8726315789473684,2
24,0.901,0.88,0.9021052631578947,2
25,0.92,0.88,0.9221052631578948,2
26,0.931,0.84,0.9357894736842105,2
27,0.929,0.84,0.9336842105263158,2
28,0.932,0.92,0.9326315789473684,2
29,0.944,0.98,0.9421052631578948,2
30,0.957,0.98,0.9557894736842105,2
31,0.97,0.98,0.9694736842105263,2
32,0.974,0.96,0.9747368421052631,2
33,0.979,1.0,0.9778947368421053,2
34,0.978,1.0,0.9768421052631578,2
35,0.979,1.0,0.9778947368421053,2
36,0.98,0.98,0.98,2
37,0.99,1.0,0.9894736842105263,2
38,0.994,1.0,0.9936842105263158,2
39,0.996,1.0,0.9957894736842106,2
40,0.997,1.0,0.9968421052631579,2
41,0.999,1.0,0.9989473684210526,2
42,1.0,1.0,1.0,2
0,0.001,0.02,0.0,3
1,0.002,0.0,0.002105263157894737,3
2,0.004,0.0,0.004210526315789474,3
3,0.004,0.0,0.004210526315789474,3
4,0.002,0.0,0.002105263157894737,3
5,0.001,0.0,0.0010526315789473684,3
6,0.001,0.0,0.0010526315789473684,3
7,0.002,0.0,0.002105263157894737,3
8,0.002,0.0,0.002105263157894737,3
9,0.003,0.0,0.003157894736842105,3
10,0.005,0.0,0.005263157894736842,3
11,0.002,0.0,0.002105263157894737,3
12,0.001,0.0,0.0010526315789473684,3
13,0.005,0.0,0.005263157894736842,3
14,0.003,0.0,0.003157894736842105,3
15,0.002,0.0,0.002105263157894737,3
16,0.0,0.0,0.0,3
0,0.001,0.02,0.0,4
1,0.003,0.0,0.003157894736842105,4
2,0.004,0.0,0.004210526315789474,4
3,0.007,0.0,0.007368421052631579,4
4,0.006,0.0,0.00631578947368421,4
5,0.008,0.0,0.008421052631578947,4
6,0.008,0.0,0.008421052631578947,4
7,0.012,0.0,0.01263157894736842,4
8,0.013,0.02,0.01263157894736842,4
9,0.021,0.0,0.022105263157894735,4
10,0.02,0.0,0.021052631578947368,4
11,0.024,0.0,0.02526315789473684,4
12,0.032,0.02,0.03263157894736842,4
13,0.027,0.04,0.02631578947368421,4
14,0.034,0.04,0.03368421052631579,4
15,0.041,0.04,0.04105263157894737,4
16,0.043,0.02,0.04421052631578947,4
17,0.062,0.02,0.06421052631578947,4
18,0.065,0.04,0.06631578947368422,4
19,0.085,0.02,0.08842105263157894,4
20,0.097,0.08,0.09789473684210526,4
21,0.122,0.1,0.1231578947368421,4
22,0.148,0.06,0.15263157894736842,4
23,0.172,0.1,0.17578947368421052,4
24,0.187,0.08,0.19263157894736843,4
25,0.215,0.08,0.22210526315789475,4
26,0.227,0.04,0.23684210526315788,4
27,0.204,0.06,0.21157894736842106,4
28,0.212,0.06,0.22,4
29,0.236,0.06,0.24526315789473685,4
30,0.204,0.1,0.2094736842105263,4
31,0.227,0.08,0.23473684210526316,4
32,0.24,0.1,0.24736842105263157,4
33,0.254,0.04,0.26526315789473687,4
34,0.28,0.14,0.2873684210526316,4
35,0.301,0.2,0.3063157894736842,4
36,0.318,0.16,0.3263157894736842,4
37,0.329,0.22,0.33473684210526317,4
38,0.347,0.18,0.35578947368421054,4
39,0.364,0.16,0.37473684210526315,4
40,0.342,0.24,0.3473684210526316,4
41,0.363,0.34,0.3642105263157895,4
42,0.389,0.46,0.38526315789473686,4
43,0.468,0.56,0.4631578947368421,4
44,0.541,0.58,0.5389473684210526,4
45,0.586,0.48,0.5915789473684211,4
46,0.636,0.6,0.6378947368421053,4
47,0.624,0.64,0.6231578947368421,4
48,0.678,0.6,0.6821052631578948,4
49,0.699,0.66,0.7010526315789474,4
50,0.721,0.64,0.7252631578947368,4
51,0.739,0.6,0.7463157894736843,4
52,0.74,0.6,0.7473684210526316,4
53,0.775,0.76,0.7757894736842105,4
54,0.81,0.82,0.8094736842105263,4
55,0.827,0.88,0.8242105263157895,4
56,0.849,0.82,0.8505263157894737,4
57,0.881,0.88,0.8810526315789474,4
58,0.908,0.8,0.9136842105263158,4
59,0.892,0.74,0.9,4
60,0.894,0.76,0.9010526315789473,4
61,0.908,0.86,0.9105263157894737,4
62,0.92,0.9,0.9210526315789473,4
63,0.939,0.88,0.9421052631578948,4
64,0.937,0.84,0.9421052631578948,4
65,0.935,0.84,0.94,4
66,0.937,0.84,0.9421052631578948,4
67,0.934,0.76,0.9431578947368421,4
68,0.927,0.8,0.9336842105263158,4
69,0.93,0.88,0.9326315789473684,4
70,0.934,0.96,0.9326315789473684,4
71,0.949,1.0,0.9463157894736842,4
72,0.964,1.0,0.9621052631578947,4
73,0.974,1.0,0.9726315789473684,4
74,0.982,1.0,0.9810526315789474,4
75,0.988,1.0,0.9873684210526316,4
76,0.989,1.0,0.988421052631579,4
77,0.991,1.0,0.9905263157894737,4
78,0.995,0.98,0.9957894736842106,4
79,0.997,0.98,0.9978947368421053,4
80,1.0,1.0,1.0,4
0,0.001,0.02,0.0,5
1,0.004,0.0,0.004210526315789474,5
2,0.002,0.0,0.002105263157894737,5
3,0.003,0.0,0.003157894736842105,5
4,0.004,0.0,0.004210526315789474,5
5,0.007,0.0,0.007368421052631579,5
6,0.01,0.0,0.010526315789473684,5
7,0.009,0.04,0.007368421052631579,5
8,0.012,0.04,0.010526315789473684,5
9,0.013,0.02,0.01263157894736842,5
10,0.014,0.0,0.014736842105263158,5
11,0.015,0.0,0.015789473684210527,5
12,0.02,0.0,0.021052631578947368,5
13,0.016,0.0,0.016842105263157894,5
14,0.018,0.02,0.017894736842105262,5
15,0.019,0.02,0.018947368421052633,5
16,0.017,0.02,0.016842105263157894,5
17,0.025,0.04,0.024210526315789474,5
18,0.035,0.06,0.03368421052631579,5
19,0.032,0.0,0.03368421052631579,5
20,0.039,0.0,0.04105263157894737,5
21,0.046,0.0,0.04842105263157895,5
22,0.057,0.0,0.06,5
23,0.065,0.0,0.06842105263157895,5
24,0.064,0.02,0.06631578947368422,5
25,0.067,0.02,0.06947368421052631,5
26,0.069,0.0,0.07263157894736842,5
27,0.052,0.0,0.05473684210526316,5
28,0.06,0.0,0.06315789473684211,5
29,0.053,0.0,0.05578947368421053,5
30,0.043,0.02,0.04421052631578947,5
31,0.05,0.0,0.05263157894736842,5
32,0.06,0.0,0.06315789473684211,5
33,0.057,0.02,0.05894736842105263,5
34,0.05,0.0,0.05263157894736842,5
35,0.051,0.0,0.05368421052631579,5
36,0.052,0.02,0.05368421052631579,5
37,0.068,0.12,0.06526315789473684,5
38,0.09,0.1,0.08947368421052632,5
39,0.111,0.12,0.11052631578947368,5
40,0.137,0.04,0.14210526315789473,5
41,0.143,0.06,0.14736842105263157,5
42,0.161,0.14,0.16210526315789472,5
43,0.193,0.16,0.19473684210526315,5
44,0.235,0.24,0.23473684210526316,5
45,0.265,0.22,0.2673684210526316,5
46,0.296,0.4,0.2905263157894737,5
47,0.402,0.48,0.39789473684210525,5
48,0.46,0.5,0.45789473684210524,5
49,0.476,0.54,0.4726315789473684,5
50,0.529,0.6,0.5252631578947369,5
51,0.59,0.72,0.5831578947368421,5
52,0.662,0.76,0.6568421052631579,5
53,0.731,0.76,0.7294736842105263,5
54,0.781,0.76,0.7821052631578947,5
55,0.826,0.76,0.8294736842105264,5
56,0.855,0.8,0.8578947368421053,5
57,0.862,0.88,0.8610526315789474,5
58,0.885,0.88,0.8852631578947369,5
59,0.895,0.86,0.8968421052631579,5
60,0.901,0.86,0.9031578947368422,5
61,0.905,0.9,0.9052631578947369,5
62,0.916,0.88,0.9178947368421052,5
