step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.009,0.02,0.008421052631578947,1
2,0.014,0.0,0.014736842105263158,1
3,0.009,0.0,0.009473684210526316,1
4,0.006,0.0,0.00631578947368421,1
5,0.005,0.0,0.005263157894736842,1
6,0.004,0.0,0.004210526315789474,1
7,0.0,0.0,0.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.01,0.02,0.009473684210526316,2
2,0.018,0.06,0.015789473684210527,2
3,0.026,0.06,0.024210526315789474,2
4,0.057,0.16,0.05157894736842105,2
5,0.118,0.24,0.11157894736842106,2
6,0.177,0.26,0.1726315789473684,2
7,0.263,0.38,0.25684210526315787,2
8,0.327,0.46,0.32,2
9,0.428,0.42,0.4284210526315789,2
10,0.461,0.42,0.4631578947368421,2
11,0.491,0.58,0.4863157894736842,2
12,0.581,0.78,0.5705263157894737,2
13,0.707,0.86,0.6989473684210527,2
14,0.794,0.94,0.7863157894736842,2
15,0.885,0.96,0.8810526315789474,2
16,0.932,0.98,0.9294736842105263,2
17,0.965,1.0,0.9631578947368421,2
18,0.981,1.0,0.98,2
19,0.991,1.0,0.9905263157894737,2
20,0.997,1.0,0.9968421052631579,2
21,0.999,1.0,0.9989473684210526,2
22,1.0,1.0,1.0,2
0,0.002,0.02,0.0010526315789473684,3
1,0.011,0.0,0.011578947368421053,3
2,0.005,0.0,0.005263157894736842,3
3,0.005,0.0,0.005263157894736842,3
4,0.003,0.0,0.003157894736842105,3
5,0.001,0.0,0.0010526315789473684,3
6,0.001,0.0,0.0010526315789473684,3
7,0.0,0.0,0.0,3
0,0.002,0.02,0.0010526315789473684,4
1,0.008,0.02,0.007368421052631579,4
2,0.013,0.04,0.011578947368421053,4
3,0.033,0.1,0.029473684210526315,4
4,0.064,0.16,0.05894736842105263,4
5,0.112,0.18,0.10842105263157895,4
6,0.177,0.28,0.17157894736842105,4
7,0.253,0.22,0.25473684210526315,4
8,0.252,0.12,0.25894736842105265,4
9,0.228,0.06,0.23684210526315788,4
10,0.196,0.12,0.2,4
11,0.171,0.04,0.17789473684210527,4
12,0.129,0.02,0.13473684210526315,4
13,0.085,0.0,0.08947368421052632,4
14,0.056,0.0,0.05894736842105263,4
15,0.041,0.0,0.0431578947368421,4
16,0.025,0.0,0.02631578947368421,4
17,0.012,0.0,0.01263157894736842,4
18,0.012,0.0,0.01263157894736842,4
19,0.01,0.0,0.010526315789473684,4
20,0.008,0.0,0.008421052631578947,4
21,0.007,0.0,0.007368421052631579,4
22,0.002,0.0,0.002105263157894737,4
23,0.002,0.0,0.002105263157894737,4
24,0.002,0.0,0.002105263157894737,4
