step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.0,0.0010526315789473684,1
1,0.001,0.0,0.0010526315789473684,1
2,0.002,0.0,0.002105263157894737,1
3,0.001,0.0,0.0010526315789473684,1
4,0.0,0.0,0.0,1
0,0.001,0.0,0.0010526315789473684,2
1,0.001,0.0,0.0010526315789473684,2
2,0.001,0.0,0.0010526315789473684,2
3,0.0,0.0,0.0,2
0,0.001,0.0,0.0010526315789473684,3
1,0.0,0.0,0.0,3
0,0.001,0.0,0.0010526315789473684,4
1,0.0,0.0,0.0,4
0,0.001,0.0,0.0010526315789473684,5
1,0.001,0.0,0.0010526315789473684,5
2,0.005,0.0,0.005263157894736842,5
3,0.009,0.0,0.009473684210526316,5
4,0.009,0.0,0.009473684210526316,5
5,0.009,0.0,0.009473684210526316,5
6,0.013,0.0,0.01368421052631579,5
7,0.014,0.02,0.01368421052631579,5
8,0.018,0.02,0.017894736842105262,5
9,0.021,0.0,0.022105263157894735,5
10,0.024,0.0,0.02526315789473684,5
11,0.028,0.04,0.02736842105263158,5
12,0.041,0.08,0.03894736842105263,5
13,0.063,0.08,0.06210526315789474,5
14,0.07,0.04,0.07157894736842105,5
15,0.079,0.04,0.08105263157894736,5
16,0.117,0.1,0.11789473684210526,5
17,0.145,0.12,0.1463157894736842,5
18,0.165,0.14,0.16631578947368422,5
19,0.209,0.26,0.2063157894736842,5
20,0.265,0.28,0.26421052631578945,5
21,0.277,0.26,0.27789473684210525,5
22,0.303,0.2,0.30842105263157893,5
23,0.321,0.36,0.31894736842105265,5
24,0.363,0.4,0.36105263157894735,5
25,0.402,0.42,0.4010526315789474,5
26,0.42,0.38,0.42210526315789476,5
27,0.461,0.54,0.4568421052631579,5
28,0.555,0.66,0.5494736842105263,5
29,0.603,0.62,0.6021052631578947,5
30,0.677,0.74,0.6736842105263158,5
31,0.761,0.92,0.7526315789473684,5
32,0.801,0.84,0.7989473684210526,5
33,0.83,0.84,0.8294736842105264,5
34,0.869,0.9,0.8673684210526316,5
35,0.884,0.86,0.8852631578947369,5
36,0.906,0.9,0.9063157894736842,5
37,0.936,0.94,0.9357894736842105,5
38,0.939,0.94,0.9389473684210526,5
39,0.955,0.96,0.9547368421052631,5
40,0.957,0.96,0.9568421052631579,5
41,0.967,0.98,0.9663157894736842,5
42,0.969,0.94,0.9705263157894737,5
43,0.966,0.96,0.9663157894736842,5
44,0.972,0.94,0.9736842105263158,5
45,0.977,1.0,0.9757894736842105,5
46,0.987,1.0,0.9863157894736843,5
47,0.99,1.0,0.9894736842105263,5
48,0.99,1.0,0.9894736842105263,5
49,0.995,0.98,0.9957894736842106,5
50,0.996,1.0,0.9957894736842106,5
51,0.998,1.0,0.9978947368421053,5
52,1.0,1.0,1.0,5
0,0.001,0.0,0.0010526315789473684,6
1,0.0,0.0,0.0,6
0,0.001,0.0,0.0010526315789473684,7
1,0.0,0.0,0.0,7
0,0.001,0.0,0.0010526315789473684,8
1,0.001,0.0,0.0010526315789473684,8
2,0.001,0.0,0.0010526315789473684,8
3,0.0,0.0,0.0,8
0,0.001,0.0,0.0010526315789473684,9
1,0.001,0.0,0.0010526315789473684,9
2,0.001,0.0,0.0010526315789473684,9
3,0.0,0.0,0.0,9
0,0.001,0.0,0.0010526315789473684,10
1,0.0,0.0,0.0,10
