step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.02,0.0,1
1,0.001,0.0,0.0010526315789473684,1
2,0.0,0.0,0.0,1
0,0.001,0.02,0.0,2
1,0.004,0.0,0.004210526315789474,2
2,0.004,0.0,0.004210526315789474,2
3,0.004,0.0,0.004210526315789474,2
4,0.001,0.0,0.0010526315789473684,2
5,0.002,0.02,0.0010526315789473684,2
6,0.005,0.0,0.005263157894736842,2
7,0.004,0.0,0.004210526315789474,2
8,0.004,0.0,0.004210526315789474,2
9,0.004,0.0,0.004210526315789474,2
10,0.002,0.0,0.002105263157894737,2
11,0.001,0.0,0.0010526315789473684,2
12,0.001,0.0,0.0010526315789473684,2
13,0.003,0.0,0.003157894736842105,2
14,0.004,0.0,0.004210526315789474,2
15,0.008,0.0,0.008421052631578947,2
16,0.013,0.0,0.01368421052631579,2
17,0.018,0.0,0.018947368421052633,2
18,0.02,0.0,0.021052631578947368,2
19,0.025,0.0,0.02631578947368421,2
20,0.024,0.04,0.023157894736842106,2
21,0.03,0.04,0.029473684210526315,2
22,0.037,0.02,0.037894736842105266,2
23,0.053,0.02,0.05473684210526316,2
24,0.067,0.0,0.07052631578947369,2
25,0.09,0.06,0.09157894736842105,2
26,0.107,0.1,0.10736842105263159,2
27,0.124,0.08,0.12631578947368421,2
28,0.14,0.1,0.14210526315789473,2
29,0.15,0.14,0.15052631578947367,2
30,0.177,0.2,0.17578947368421052,2
31,0.185,0.2,0.18421052631578946,2
32,0.22,0.34,0.21368421052631578,2
33,0.275,0.46,0.26526315789473687,2
34,0.343,0.5,0.33473684210526317,2
35,0.413,0.44,0.41157894736842104,2
36,0.448,0.44,0.44842105263157894,2
37,0.494,0.48,0.49473684210526314,2
38,0.525,0.46,0.5284210526315789,2
39,0.558,0.7,0.5505263157894736,2
40,0.618,0.8,0.608421052631579,2
41,0.689,0.84,0.6810526315789474,2
42,0.758,0.78,0.7568421052631579,2
43,0.809,0.84,0.8073684210526316,2
44,0.822,0.84,0.8210526315789474,2
45,0.852,0.94,0.8473684210526315,2
46,0.87,0.84,0.871578947368421,2
47,0.898,0.86,0.9,2
48,0.913,0.94,0.911578947368421,2
49,0.928,0.94,0.9273684210526316,2
50,0.932,0.94,0.9315789473684211,2
51,0.941,0.92,0.9421052631578948,2
52,0.947,0.94,0.9473684210526315,2
53,0.96,0.98,0.9589473684210527,2
54,0.97,0.98,0.9694736842105263,2
55,0.981,0.96,0.9821052631578947,2
56,0.985,0.98,0.9852631578947368,2
57,0.981,1.0,0.98,2
58,0.986,1.0,0.9852631578947368,2
59,0.987,0.98,0.9873684210526316,2
60,0.99,1.0,0.9894736842105263,2
61,0.996,1.0,0.9957894736842106,2
62,0.998,1.0,0.9978947368421053,2
63,0.998,1.0,0.9978947368421053,2
64,0.998,1.0,0.9978947368421053,2
65,1.0,1.0,1.0,2
0,0.001,0.02,0.0,3
1,0.002,0.0,0.002105263157894737,3
2,0.002,0.0,0.002105263157894737,3
3,0.004,0.0,0.004210526315789474,3
4,0.001,0.0,0.0010526315789473684,3
5,0.0,0.0,0.0,3
0,0.001,0.02,0.0,4
1,0.002,0.0,0.002105263157894737,4
2,0.001,0.0,0.0010526315789473684,4
3,0.0,0.0,0.0,4
0,0.001,0.02,0.0,5
1,0.005,0.06,0.002105263157894737,5
2,0.017,0.0,0.017894736842105262,5
3,0.009,0.0,0.009473684210526316,5
4,0.011,0.0,0.011578947368421053,5
5,0.012,0.02,0.011578947368421053,5
6,0.011,0.0,0.011578947368421053,5
7,0.013,0.0,0.01368421052631579,5
8,0.012,0.0,0.01263157894736842,5
9,0.008,0.0,0.008421052631578947,5
10,0.009,0.0,0.009473684210526316,5
11,0.012,0.0,0.01263157894736842,5
12,0.012,0.0,0.01263157894736842,5
13,0.022,0.0,0.023157894736842106,5
14,0.022,0.02,0.022105263157894735,5
15,0.035,0.04,0.034736842105263156,5
16,0.045,0.08,0.0431578947368421,5
17,0.068,0.1,0.06631578947368422,5
18,0.083,0.1,0.08210526315789474,5
19,0.092,0.1,0.09157894736842105,5
20,0.116,0.08,0.11789473684210526,5
21,0.136,0.16,0.13473684210526315,5
22,0.153,0.14,0.15368421052631578,5
23,0.176,0.18,0.17578947368421052,5
24,0.191,0.18,0.19157894736842104,5
25,0.22,0.16,0.2231578947368421,5
26,0.235,0.12,0.24105263157894738,5
27,0.269,0.26,0.2694736842105263,5
28,0.285,0.3,0.28421052631578947,5
29,0.342,0.26,0.3463157894736842,5
30,0.37,0.34,0.37157894736842106,5
31,0.408,0.44,0.4063157894736842,5
32,0.473,0.54,0.4694736842105263,5
33,0.527,0.66,0.52,5
34,0.57,0.72,0.5621052631578948,5
35,0.649,0.68,0.6473684210526316,5
36,0.691,0.78,0.6863157894736842,5
37,0.751,0.84,0.7463157894736843,5
38,0.822,0.9,0.8178947368421052,5
39,0.843,0.86,0.8421052631578947,5
40,0.871,0.92,0.868421052631579,5
41,0.897,0.92,0.8957894736842106,5
42,0.903,0.9,0.9031578947368422,5
43,0.934,0.94,0.9336842105263158,5
44,0.953,0.98,0.9515789473684211,5
45,0.971,1.0,0.9694736842105263,5
46,0.985,1.0,0.9842105263157894,5
47,0.984,1.0,0.9831578947368421,5
48,0.989,0.98,0.9894736842105263,5
49,0.987,1.0,0.9863157894736843,5
50,0.99,0.98,0.9905263157894737,5
51,0.991,1.0,0.9905263157894737,5
52,0.989,1.0,0.988421052631579,5
53,0.995,1.0,0.9947368421052631,5
54,0.991,1.0,0.9905263157894737,5
55,0.994,1.0,0.9936842105263158,5
56,0.996,1.0,0.9957894736842106,5
57,0.997,1.0,0.9968421052631579,5
58,1.0,1.0,1.0,5
0,0.001,0.02,0.0,6
1,0.005,0.02,0.004210526315789474,6
2,0.006,0.02,0.005263157894736842,6
3,0.006,0.0,0.00631578947368421,6
4,0.005,0.0,0.005263157894736842,6
5,0.004,0.0,0.004210526315789474,6
6,0.007,0.0,0.007368421052631579,6
7,0.008,0.0,0.008421052631578947,6
8,0.012,0.0,0.01263157894736842,6
9,0.006,0.0,0.00631578947368421,6
10,0.004,0.0,0.004210526315789474,6
11,0.009,0.0,0.009473684210526316,6
12,0.009,0.0,0.009473684210526316,6
13,0.005,0.0,0.005263157894736842,6
14,0.005,0.0,0.005263157894736842,6
15,0.004,0.0,0.004210526315789474,6
16,0.006,0.0,0.00631578947368421,6
17,0.007,0.0,0.007368421052631579,6
18,0.003,0.0,0.003157894736842105,6
19,0.005,0.0,0.005263157894736842,6
20,0.009,0.0,0.009473684210526316,6
21,0.017,0.0,0.017894736842105262,6
22,0.02,0.0,0.021052631578947368,6
23,0.015,0.0,0.015789473684210527,6
24,0.012,0.0,0.01263157894736842,6
25,0.014,0.02,0.01368421052631579,6
26,0.014,0.0,0.014736842105263158,6
27,0.007,0.0,0.007368421052631579,6
28,0.009,0.0,0.009473684210526316,6
29,0.011,0.0,0.011578947368421053,6
30,0.01,0.0,0.010526315789473684,6
31,0.012,0.02,0.011578947368421053,6
32,0.009,0.02,0.008421052631578947,6
33,0.011,0.02,0.010526315789473684,6
34,0.015,0.04,0.01368421052631579,6
35,0.021,0.06,0.018947368421052633,6
36,0.029,0.08,0.02631578947368421,6
37,0.042,0.04,0.042105263157894736,6
38,0.047,0.04,0.04736842105263158,6
39,0.058,0.08,0.056842105263157895,6
40,0.084,0.1,0.08315789473684211,6
41,0.095,0.12,0.09368421052631579,6
42,0.129,0.14,0.12842105263157894,6
43,0.151,0.06,0.15578947368421053,6
44,0.182,0.2,0.18105263157894738,6
45,0.211,0.26,0.20842105263157895,6
46,0.25,0.32,0.2463157894736842,6
47,0.314,0.44,0.30736842105263157,6
48,0.354,0.44,0.3494736842105263,6
49,0.399,0.48,0.39473684210526316,6
50,0.466,0.54,0.46210526315789474,6
51,0.543,0.58,0.5410526315789473,6
52,0.593,0.5,0.5978947368421053,6
53,0.599,0.56,0.6010526315789474,6
54,0.634,0.54,0.6389473684210526,6
55,0.672,0.74,0.6684210526315789,6
56,0.699,0.76,0.6957894736842105,6
57,0.748,0.9,0.74,6
58,0.8,0.88,0.7957894736842105,6
59,0.84,0.94,0.8347368421052631,6
60,0.88,0.9,0.8789473684210526,6
61,0.91,0.9,0.9105263157894737,6
62,0.92,0.92,0.92,6
63,0.924,0.94,0.9231578947368421,6
64,0.939,0.92,0.94,6
65,0.947,0.98,0.9452631578947368,6
66,0.964,1.0,0.9621052631578947,6
67,0.971,0.98,0.9705263157894737,6
68,0.98,0.92,0.9831578947368421,6
