step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.008,0.02,0.007368421052631579,1
2,0.015,0.04,0.01368421052631579,1
3,0.018,0.04,0.016842105263157894,1
4,0.024,0.02,0.024210526315789474,1
5,0.034,0.0,0.035789473684210524,1
6,0.039,0.02,0.04,1
7,0.05,0.0,0.05263157894736842,1
8,0.048,0.08,0.04631578947368421,1
9,0.063,0.06,0.06315789473684211,1
10,0.077,0.12,0.07473684210526316,1
11,0.11,0.16,0.10736842105263159,1
12,0.136,0.18,0.1336842105263158,1
13,0.148,0.2,0.14526315789473684,1
14,0.171,0.22,0.16842105263157894,1
15,0.214,0.26,0.21157894736842106,1
16,0.262,0.26,0.26210526315789473,1
17,0.301,0.3,0.30105263157894735,1
18,0.31,0.3,0.3105263157894737,1
19,0.312,0.28,0.3136842105263158,1
20,0.37,0.42,0.36736842105263157,1
21,0.432,0.54,0.4263157894736842,1
22,0.517,0.62,0.511578947368421,1
23,0.575,0.52,0.5778947368421052,1
24,0.628,0.54,0.6326315789473684,1
25,0.659,0.64,0.66,1
26,0.692,0.76,0.6884210526315789,1
27,0.747,0.78,0.7452631578947368,1
28,0.779,0.78,0.7789473684210526,1
29,0.799,0.76,0.8010526315789473,1
30,0.846,0.9,0.8431578947368421,1
31,0.869,0.96,0.8642105263157894,1
32,0.896,0.9,0.8957894736842106,1
33,0.931,0.98,0.9284210526315789,1
34,0.949,0.96,0.9484210526315789,1
35,0.95,0.96,0.9494736842105264,1
36,0.952,0.98,0.9505263157894737,1
37,0.951,1.0,0.9484210526315789,1
38,0.969,1.0,0.9673684210526315,1
39,0.969,1.0,0.9673684210526315,1
40,0.965,0.96,0.9652631578947368,1
41,0.973,0.98,0.9726315789473684,1
42,0.977,0.98,0.9768421052631578,1
43,0.98,0.94,0.9821052631578947,1
44,0.98,0.96,0.9810526315789474,1
45,0.97,0.96,0.9705263157894737,1
46,0.966,0.88,0.9705263157894737,1
47,0.958,0.92,0.96,1
48,0.961,0.92,0.9631578947368421,1
49,0.955,0.92,0.9568421052631579,1
50,0.963,0.96,0.9631578947368421,1
51,0.973,1.0,0.9715789473684211,1
52,0.975,0.98,0.9747368421052631,1
53,0.981,1.0,0.98,1
54,0.986,0.96,0.9873684210526316,1
55,0.983,0.98,0.9831578947368421,1
56,0.986,0.98,0.9863157894736843,1
57,0.987,1.0,0.9863157894736843,1
58,0.991,1.0,0.9905263157894737,1
59,0.992,1.0,0.991578947368421,1
60,0.995,1.0,0.9947368421052631,1
61,0.997,1.0,0.9968421052631579,1
62,0.998,1.0,0.9978947368421053,1
63,0.997,1.0,0.9968421052631579,1
64,0.996,1.0,0.9957894736842106,1
65,1.0,1.0,1.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.009,0.06,0.00631578947368421,2
2,0.015,0.02,0.014736842105263158,2
3,0.027,0.06,0.02526315789473684,2
4,0.027,0.1,0.023157894736842106,2
5,0.04,0.04,0.04,2
6,0.042,0.0,0.04421052631578947,2
7,0.055,0.0,0.05789473684210526,2
8,0.046,0.0,0.04842105263157895,2
9,0.059,0.06,0.05894736842105263,2
10,0.082,0.08,0.08210526315789474,2
11,0.096,0.06,0.09789473684210526,2
12,0.113,0.12,0.11263157894736842,2
13,0.134,0.12,0.13473684210526315,2
14,0.135,0.14,0.13473684210526315,2
15,0.157,0.22,0.15368421052631578,2
16,0.166,0.2,0.16421052631578947,2
17,0.194,0.3,0.18842105263157893,2
18,0.233,0.12,0.23894736842105263,2
19,0.291,0.28,0.29157894736842105,2
20,0.34,0.44,0.33473684210526317,2
21,0.408,0.46,0.4052631578947368,2
22,0.474,0.38,0.4789473684210526,2
23,0.528,0.46,0.531578947368421,2
24,0.593,0.56,0.5947368421052631,2
25,0.636,0.52,0.6421052631578947,2
26,0.677,0.64,0.6789473684210526,2
27,0.717,0.84,0.7105263157894737,2
28,0.785,0.88,0.78,2
29,0.802,0.82,0.8010526315789473,2
30,0.835,0.84,0.8347368421052631,2
31,0.877,0.78,0.8821052631578947,2
32,0.875,0.82,0.8778947368421053,2
33,0.899,0.94,0.8968421052631579,2
34,0.922,0.9,0.9231578947368421,2
35,0.925,0.92,0.9252631578947368,2
36,0.931,0.94,0.9305263157894736,2
37,0.951,0.88,0.9547368421052631,2
38,0.952,0.94,0.9526315789473684,2
39,0.958,0.96,0.9578947368421052,2
40,0.961,0.96,0.9610526315789474,2
41,0.973,1.0,0.9715789473684211,2
42,0.972,0.98,0.9715789473684211,2
43,0.972,0.96,0.9726315789473684,2
44,0.981,0.96,0.9821052631578947,2
45,0.985,0.98,0.9852631578947368,2
46,0.984,0.98,0.9842105263157894,2
47,0.984,0.96,0.9852631578947368,2
48,0.99,0.98,0.9905263157894737,2
49,0.987,1.0,0.9863157894736843,2
50,0.992,1.0,0.991578947368421,2
51,0.988,1.0,0.9873684210526316,2
52,0.989,1.0,0.988421052631579,2
53,0.996,1.0,0.9957894736842106,2
54,0.996,1.0,0.9957894736842106,2
55,0.999,1.0,0.9989473684210526,2
56,0.998,1.0,0.9978947368421053,2
57,0.999,1.0,0.9989473684210526,2
58,0.999,1.0,0.9989473684210526,2
59,1.0,1.0,1.0,2
