step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.0,0.0010526315789473684,1
1,0.0,0.0,0.0,1
0,0.001,0.0,0.0010526315789473684,2
1,0.002,0.0,0.002105263157894737,2
2,0.002,0.0,0.002105263157894737,2
3,0.0,0.0,0.0,2
0,0.001,0.0,0.0010526315789473684,3
1,0.002,0.0,0.002105263157894737,3
2,0.0,0.0,0.0,3
0,0.001,0.0,0.0010526315789473684,4
1,0.0,0.0,0.0,4
0,0.001,0.0,0.0010526315789473684,5
1,0.001,0.0,0.0010526315789473684,5
2,0.0,0.0,0.0,5
0,0.001,0.0,0.0010526315789473684,6
1,0.001,0.0,0.0010526315789473684,6
2,0.0,0.0,0.0,6
0,0.001,0.0,0.0010526315789473684,7
1,0.002,0.0,0.002105263157894737,7
2,0.002,0.0,0.002105263157894737,7
3,0.003,0.0,0.003157894736842105,7
4,0.003,0.0,0.003157894736842105,7
5,0.001,0.02,0.0,7
6,0.016,0.0,0.016842105263157894,7
7,0.007,0.04,0.005263157894736842,7
8,0.023,0.0,0.024210526315789474,7
9,0.013,0.0,0.01368421052631579,7
10,0.007,0.0,0.007368421052631579,7
11,0.006,0.0,0.00631578947368421,7
12,0.002,0.0,0.002105263157894737,7
13,0.0,0.0,0.0,7
0,0.001,0.0,0.0010526315789473684,8
1,0.0,0.0,0.0,8
0,0.001,0.0,0.0010526315789473684,9
1,0.001,0.0,0.0010526315789473684,9
2,0.002,0.0,0.002105263157894737,9
3,0.003,0.0,0.003157894736842105,9
4,0.001,0.0,0.0010526315789473684,9
5,0.0,0.0,0.0,9
0,0.001,0.0,0.0010526315789473684,10
1,0.001,0.0,0.0010526315789473684,10
2,0.0,0.0,0.0,10
