step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.001,0.02,0.0,1
1,0.012,0.02,0.011578947368421053,1
2,0.016,0.02,0.015789473684210527,1
3,0.021,0.08,0.017894736842105262,1
4,0.047,0.06,0.04631578947368421,1
5,0.072,0.04,0.07368421052631578,1
6,0.074,0.12,0.07157894736842105,1
7,0.112,0.08,0.11368421052631579,1
8,0.096,0.12,0.09473684210526316,1
9,0.118,0.2,0.11368421052631579,1
10,0.198,0.22,0.1968421052631579,1
11,0.23,0.32,0.22526315789473683,1
12,0.309,0.24,0.3126315789473684,1
13,0.321,0.28,0.3231578947368421,1
14,0.349,0.32,0.3505263157894737,1
15,0.389,0.34,0.391578947368421,1
16,0.432,0.48,0.42947368421052634,1
17,0.496,0.62,0.48947368421052634,1
18,0.573,0.66,0.5684210526315789,1
19,0.638,0.68,0.6357894736842106,1
20,0.685,0.74,0.6821052631578948,1
21,0.744,0.82,0.74,1
22,0.802,0.78,0.8031578947368421,1
23,0.853,0.9,0.8505263157894737,1
24,0.903,0.92,0.9021052631578947,1
25,0.923,0.94,0.9221052631578948,1
26,0.944,0.92,0.9452631578947368,1
27,0.936,0.94,0.9357894736842105,1
28,0.945,0.96,0.9442105263157895,1
29,0.946,0.92,0.9473684210526315,1
30,0.952,0.9,0.9547368421052631,1
31,0.942,0.84,0.9473684210526315,1
32,0.91,0.94,0.9084210526315789,1
33,0.936,0.92,0.9368421052631579,1
34,0.934,0.92,0.9347368421052632,1
35,0.939,0.96,0.9378947368421052,1
36,0.953,0.96,0.9526315789473684,1
37,0.962,0.96,0.9621052631578947,1
38,0.963,0.96,0.9631578947368421,1
39,0.971,0.98,0.9705263157894737,1
40,0.985,0.98,0.9852631578947368,1
41,0.988,0.96,0.9894736842105263,1
42,0.984,0.98,0.9842105263157894,1
43,0.988,0.98,0.988421052631579,1
44,0.988,0.98,0.988421052631579,1
45,0.99,1.0,0.9894736842105263,1
46,0.996,1.0,0.9957894736842106,1
47,0.996,1.0,0.9957894736842106,1
48,1.0,1.0,1.0,1
0,0.001,0.02,0.0,2
1,0.009,0.04,0.007368421052631579,2
2,0.02,0.02,0.02,2
3,0.024,0.06,0.022105263157894735,2
4,0.04,0.02,0.04105263157894737,2
5,0.028,0.04,0.02736842105263158,2
6,0.057,0.0,0.06,2
7,0.041,0.02,0.042105263157894736,2
8,0.039,0.04,0.03894736842105263,2
9,0.056,0.1,0.05368421052631579,2
10,0.075,0.14,0.07157894736842105,2
11,0.123,0.2,0.11894736842105263,2
12,0.171,0.12,0.1736842105263158,2
13,0.165,0.16,0.16526315789473683,2
14,0.186,0.16,0.18736842105263157,2
15,0.2,0.28,0.1957894736842105,2
16,0.259,0.44,0.24947368421052632,2
17,0.387,0.52,0.38,2
18,0.479,0.32,0.48736842105263156,2
19,0.44,0.44,0.44,2
20,0.491,0.52,0.48947368421052634,2
21,0.547,0.56,0.5463157894736842,2
22,0.591,0.66,0.5873684210526315,2
23,0.655,0.6,0.6578947368421053,2
24,0.668,0.64,0.6694736842105263,2
25,0.696,0.74,0.6936842105263158,2
26,0.743,0.72,0.7442105263157894,2
27,0.777,0.76,0.7778947368421053,2
28,0.777,0.68,0.7821052631578947,2
29,0.739,0.78,0.7368421052631579,2
30,0.814,0.74,0.8178947368421052,2
31,0.816,0.7,0.8221052631578948,2
32,0.783,0.8,0.7821052631578947,2
33,0.808,0.76,0.8105263157894737,2
34,0.817,0.82,0.8168421052631579,2
35,0.843,0.84,0.8431578947368421,2
36,0.878,0.96,0.8736842105263158,2
37,0.911,0.94,0.9094736842105263,2
38,0.942,0.94,0.9421052631578948,2
39,0.964,0.96,0.9642105263157895,2
40,0.967,0.96,0.9673684210526315,2
41,0.972,1.0,0.9705263157894737,2
42,0.989,1.0,0.988421052631579,2
43,0.992,1.0,0.991578947368421,2
44,0.998,0.98,0.9989473684210526,2
45,0.993,1.0,0.9926315789473684,2
46,0.995,1.0,0.9947368421052631,2
47,0.999,1.0,0.9989473684210526,2
48,0.999,1.0,0.9989473684210526,2
49,0.998,1.0,0.9978947368421053,2
50,0.999,0.98,1.0,2
51,0.992,1.0,0.991578947368421,2
52,1.0,1.0,1.0,2
0,0.001,0.02,0.0,3
1,0.014,0.0,0.014736842105263158,3
2,0.011,0.0,0.011578947368421053,3
3,0.014,0.04,0.01263157894736842,3
4,0.026,0.06,0.024210526315789474,3
5,0.048,0.02,0.049473684210526316,3
6,0.046,0.04,0.04631578947368421,3
7,0.051,0.04,0.05157894736842105,3
8,0.05,0.04,0.05052631578947368,3
9,0.054,0.1,0.05157894736842105,3
10,0.074,0.04,0.07578947368421053,3
11,0.086,0.14,0.08315789473684211,3
12,0.117,0.16,0.11473684210526315,3
13,0.154,0.22,0.15052631578947367,3
14,0.221,0.2,0.22210526315789475,3
15,0.253,0.32,0.24947368421052632,3
16,0.349,0.46,0.3431578947368421,3
17,0.43,0.4,0.43157894736842106,3
18,0.455,0.44,0.4557894736842105,3
19,0.513,0.54,0.511578947368421,3
20,0.566,0.58,0.5652631578947368,3
21,0.63,0.62,0.6305263157894737,3
22,0.656,0.66,0.6557894736842105,3
23,0.69,0.66,0.6915789473684211,3
24,0.722,0.7,0.7231578947368421,3
25,0.739,0.68,0.7421052631578947,3
26,0.747,0.68,0.7505263157894737,3
27,0.757,0.8,0.7547368421052632,3
28,0.799,0.72,0.8031578947368421,3
29,0.823,0.8,0.8242105263157895,3
30,0.827,0.84,0.8263157894736842,3
31,0.867,0.88,0.8663157894736843,3
32,0.888,0.9,0.8873684210526316,3
