step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.01,0.02,0.009473684210526316,1
2,0.014,0.02,0.01368421052631579,1
3,0.019,0.02,0.018947368421052633,1
4,0.028,0.0,0.029473684210526315,1
5,0.018,0.0,0.018947368421052633,1
6,0.01,0.0,0.010526315789473684,1
7,0.006,0.0,0.00631578947368421,1
8,0.002,0.0,0.002105263157894737,1
9,0.002,0.0,0.002105263157894737,1
10,0.001,0.0,0.0010526315789473684,1
11,0.0,0.0,0.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.012,0.0,0.01263157894736842,2
2,0.01,0.0,0.010526315789473684,2
3,0.005,0.0,0.005263157894736842,2
4,0.006,0.0,0.00631578947368421,2
5,0.002,0.0,0.002105263157894737,2
6,0.0,0.0,0.0,2
0,0.002,0.02,0.0010526315789473684,3
1,0.008,0.0,0.008421052631578947,3
2,0.005,0.0,0.005263157894736842,3
3,0.001,0.0,0.0010526315789473684,3
4,0.0,0.0,0.0,3
0,0.002,0.02,0.0010526315789473684,4
1,0.01,0.04,0.008421052631578947,4
2,0.034,0.04,0.03368421052631579,4
3,0.044,0.04,0.04421052631578947,4
4,0.048,0.08,0.04631578947368421,4
5,0.064,0.08,0.06315789473684211,4
6,0.099,0.08,0.1,4
7,0.1,0.12,0.09894736842105263,4
8,0.127,0.18,0.12421052631578948,4
9,0.174,0.26,0.1694736842105263,4
10,0.254,0.32,0.2505263157894737,4
11,0.291,0.22,0.29473684210526313,4
12,0.314,0.34,0.3126315789473684,4
13,0.375,0.38,0.37473684210526315,4
14,0.408,0.44,0.4063157894736842,4
15,0.46,0.48,0.4589473684210526,4
16,0.494,0.4,0.49894736842105264,4
17,0.484,0.42,0.48736842105263156,4
18,0.494,0.28,0.5052631578947369,4
19,0.453,0.46,0.45263157894736844,4
20,0.495,0.42,0.49894736842105264,4
21,0.534,0.42,0.54,4
22,0.551,0.38,0.56,4
23,0.523,0.62,0.5178947368421053,4
24,0.61,0.58,0.611578947368421,4
25,0.639,0.7,0.6357894736842106,4
26,0.715,0.78,0.7115789473684211,4
27,0.783,0.8,0.7821052631578947,4
28,0.83,0.78,0.8326315789473684,4
29,0.819,0.84,0.8178947368421052,4
30,0.85,0.86,0.8494736842105263,4
31,0.878,0.84,0.88,4
32,0.871,0.8,0.8747368421052631,4
33,0.868,0.92,0.8652631578947368,4
34,0.905,0.88,0.9063157894736842,4
35,0.926,0.94,0.9252631578947368,4
36,0.953,0.94,0.9536842105263158,4
37,0.961,0.94,0.9621052631578947,4
38,0.947,0.96,0.9463157894736842,4
39,0.955,0.92,0.9568421052631579,4
40,0.943,0.94,0.9431578947368421,4
41,0.953,0.98,0.9515789473684211,4
42,0.977,0.98,0.9768421052631578,4
43,0.978,0.98,0.9778947368421053,4
44,0.979,0.96,0.98,4
45,0.975,1.0,0.9736842105263158,4
46,0.989,0.98,0.9894736842105263,4
47,0.989,1.0,0.988421052631579,4
48,0.994,0.98,0.9947368421052631,4
49,0.987,1.0,0.9863157894736843,4
50,0.993,0.98,0.9936842105263158,4
51,0.994,1.0,0.9936842105263158,4
52,0.998,1.0,0.9978947368421053,4
53,1.0,1.0,1.0,4
0,0.002,0.02,0.0010526315789473684,5
1,0.01,0.02,0.009473684210526316,5
2,0.025,0.02,0.02526315789473684,5
3,0.031,0.06,0.029473684210526315,5
4,0.05,0.1,0.04736842105263158,5
5,0.082,0.1,0.08105263157894736,5
6,0.122,0.16,0.12,5
7,0.155,0.2,0.15263157894736842,5
8,0.202,0.3,0.1968421052631579,5
9,0.273,0.34,0.2694736842105263,5
10,0.349,0.32,0.3505263157894737,5
11,0.392,0.36,0.3936842105263158,5
12,0.396,0.32,0.4,5
13,0.402,0.4,0.40210526315789474,5
14,0.424,0.44,0.4231578947368421,5
15,0.477,0.58,0.47157894736842104,5
16,0.585,0.7,0.5789473684210527,5
17,0.701,0.7,0.7010526315789474,5
18,0.718,0.78,0.7147368421052631,5
19,0.79,0.78,0.7905263157894736,5
20,0.809,0.86,0.8063157894736842,5
21,0.854,0.9,0.8515789473684211,5
22,0.899,0.9,0.8989473684210526,5
23,0.92,0.92,0.92,5
24,0.923,0.88,0.9252631578947368,5
25,0.914,0.94,0.9126315789473685,5
26,0.94,0.98,0.9378947368421052,5
27,0.964,1.0,0.9621052631578947,5
28,0.985,0.96,0.9863157894736843,5
29,0.978,1.0,0.9768421052631578,5
30,0.989,0.98,0.9894736842105263,5
31,0.988,1.0,0.9873684210526316,5
32,0.993,1.0,0.9926315789473684,5
33,0.999,1.0,0.9989473684210526,5
34,0.999,1.0,0.9989473684210526,5
35,0.999,1.0,0.9989473684210526,5
36,1.0,1.0,1.0,5
0,0.002,0.02,0.0010526315789473684,6
1,0.013,0.02,0.01263157894736842,6
2,0.021,0.0,0.022105263157894735,6
3,0.012,0.02,0.011578947368421053,6
4,0.014,0.02,0.01368421052631579,6
5,0.014,0.02,0.01368421052631579,6
6,0.019,0.02,0.018947368421052633,6
7,0.02,0.02,0.02,6
8,0.03,0.08,0.02736842105263158,6
9,0.061,0.04,0.06210526315789474,6
10,0.057,0.02,0.05894736842105263,6
11,0.054,0.04,0.05473684210526316,6
12,0.067,0.08,0.06631578947368422,6
