step,frac_a,frac_a_min,frac_a_max,ensemble
0,0.002,0.02,0.0010526315789473684,1
1,0.009,0.04,0.007368421052631579,1
2,0.031,0.04,0.030526315789473683,1
3,0.044,0.02,0.045263157894736845,1
4,0.036,0.02,0.03684210526315789,1
5,0.033,0.02,0.03368421052631579,1
6,0.03,0.0,0.031578947368421054,1
7,0.018,0.0,0.018947368421052633,1
8,0.013,0.0,0.01368421052631579,1
9,0.008,0.02,0.007368421052631579,1
10,0.011,0.0,0.011578947368421053,1
11,0.002,0.0,0.002105263157894737,1
12,0.001,0.0,0.0010526315789473684,1
13,0.0,0.0,0.0,1
0,0.002,0.02,0.0010526315789473684,2
1,0.016,0.02,0.015789473684210527,2
2,0.021,0.02,0.021052631578947368,2
3,0.023,0.0,0.024210526315789474,2
4,0.008,0.0,0.008421052631578947,2
5,0.011,0.0,0.011578947368421053,2
6,0.008,0.0,0.008421052631578947,2
7,0.005,0.0,0.005263157894736842,2
8,0.003,0.0,0.003157894736842105,2
9,0.001,0.0,0.0010526315789473684,2
10,0.0,0.0,0.0,2
0,0.002,0.02,0.0010526315789473684,3
1,0.011,0.04,0.009473684210526316,3
2,0.025,0.0,0.02631578947368421,3
3,0.011,0.0,0.011578947368421053,3
4,0.007,0.0,0.007368421052631579,3
5,0.003,0.0,0.003157894736842105,3
6,0.005,0.0,0.005263157894736842,3
7,0.005,0.0,0.005263157894736842,3
8,0.004,0.0,0.004210526315789474,3
9,0.003,0.0,0.003157894736842105,3
10,0.003,0.0,0.003157894736842105,3
11,0.001,0.0,0.0010526315789473684,3
12,0.001,0.0,0.0010526315789473684,3
13,0.002,0.0,0.002105263157894737,3
14,0.001,0.0,0.0010526315789473684,3
15,0.001,0.0,0.0010526315789473684,3
16,0.003,0.0,0.003157894736842105,3
17,0.004,0.0,0.004210526315789474,3
18,0.004,0.0,0.004210526315789474,3
19,0.003,0.0,0.003157894736842105,3
20,0.004,0.0,0.004210526315789474,3
21,0.0,0.0,0.0,3
0,0.002,0.02,0.0010526315789473684,4
1,0.017,0.0,0.017894736842105262,4
2,0.009,0.0,0.009473684210526316,4
3,0.005,0.0,0.005263157894736842,4
4,0.008,0.0,0.008421052631578947,4
5,0.004,0.0,0.004210526315789474,4
6,0.002,0.0,0.002105263157894737,4
7,0.002,0.0,0.002105263157894737,4
8,0.002,0.0,0.002105263157894737,4
9,0.001,0.0,0.0010526315789473684,4
10,0.0,0.0,0.0,4
0,0.002,0.02,0.0010526315789473684,5
1,0.009,0.04,0.007368421052631579,5
2,0.036,0.04,0.035789473684210524,5
3,0.038,0.06,0.03684210526315789,5
4,0.055,0.1,0.05263157894736842,5
5,0.076,0.04,0.07789473684210527,5
6,0.082,0.06,0.08315789473684211,5
7,0.088,0.16,0.08421052631578947,5
8,0.152,0.14,0.15263157894736842,5
9,0.187,0.16,0.18842105263157893,5
10,0.201,0.16,0.2031578947368421,5
11,0.218,0.22,0.21789473684210525,5
12,0.243,0.26,0.24210526315789474,5
13,0.298,0.26,0.3,5
14,0.323,0.28,0.32526315789473687,5
15,0.35,0.38,0.34842105263157896,5
16,0.396,0.5,0.39052631578947367,5
17,0.467,0.38,0.47157894736842104,5
18,0.486,0.5,0.48526315789473684,5
19,0.536,0.56,0.5347368421052632,5
20,0.562,0.6,0.56,5
21,0.648,0.66,0.6473684210526316,5
22,0.687,0.72,0.6852631578947368,5
23,0.716,0.72,0.7157894736842105,5
24,0.768,0.74,0.7694736842105263,5
25,0.788,0.74,0.7905263157894736,5
26,0.792,0.76,0.7936842105263158,5
27,0.809,0.8,0.8094736842105263,5
28,0.836,0.86,0.8347368421052631,5
29,0.871,0.92,0.868421052631579,5
30,0.91,0.94,0.9084210526315789,5
31,0.93,0.96,0.9284210526315789,5
32,0.952,1.0,0.9494736842105264,5
33,0.974,1.0,0.9726315789473684,5
34,0.992,0.98,0.9926315789473684,5
35,0.986,1.0,0.9852631578947368,5
36,0.99,1.0,0.9894736842105263,5
37,0.993,1.0,0.9926315789473684,5
38,0.998,1.0,0.9978947368421053,5
39,1.0,1.0,1.0,5
0,0.002,0.02,0.0010526315789473684,6
1,0.012,0.0,0.01263157894736842,6
2,0.005,0.0,0.005263157894736842,6
3,0.003,0.0,0.003157894736842105,6
4,0.002,0.0,0.002105263157894737,6
5,0.0,0.0,0.0,6
0,0.002,0.02,0.0010526315789473684,7
1,0.011,0.0,0.011578947368421053,7
2,0.012,0.0,0.01263157894736842,7
3,0.005,0.0,0.005263157894736842,7
4,0.005,0.0,0.005263157894736842,7
5,0.003,0.0,0.003157894736842105,7
6,0.001,0.0,0.0010526315789473684,7
7,0.002,0.0,0.002105263157894737,7
8,0.0,0.0,0.0,7
0,0.002,0.02,0.0010526315789473684,8
1,0.014,0.0,0.014736842105263158,8
2,0.011,0.0,0.011578947368421053,8
3,0.005,0.0,0.005263157894736842,8
4,0.008,0.0,0.008421052631578947,8
5,0.001,0.0,0.0010526315789473684,8
6,0.0,0.0,0.0,8
0,0.002,0.02,0.0010526315789473684,9
1,0.016,0.02,0.015789473684210527,9
2,0.024,0.06,0.022105263157894735,9
3,0.045,0.06,0.04421052631578947,9
4,0.065,0.04,0.06631578947368422,9
5,0.059,0.02,0.061052631578947365,9
6,0.052,0.0,0.05473684210526316,9
7,0.028,0.0,0.029473684210526315,9
8,0.022,0.02,0.022105263157894735,9
9,0.017,0.0,0.017894736842105262,9
10,0.014,0.0,0.014736842105263158,9
11,0.007,0.02,0.00631578947368421,9
12,0.017,0.0,0.017894736842105262,9
13,0.012,0.02,0.011578947368421053,9
14,0.019,0.0,0.02,9
15,0.011,0.0,0.011578947368421053,9
16,0.006,0.0,0.00631578947368421,9
17,0.01,0.0,0.010526315789473684,9
18,0.007,0.0,0.007368421052631579,9
19,0.005,0.0,0.005263157894736842,9
20,0.005,0.0,0.005263157894736842,9
21,0.003,0.0,0.003157894736842105,9
22,0.0,0.0,0.0,9
0,0.002,0.02,0.0010526315789473684,10
1,0.008,0.0,0.008421052631578947,10
2,0.003,0.0,0.003157894736842105,10
3,0.002,0.0,0.002105263157894737,10
4,0.003,0.0,0.003157894736842105,10
5,0.003,0.0,0.003157894736842105,10
6,0.0,0.0,0.0,10
